"","accessRights","adm1","adm2","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http://unknown.org/occurrenceDetails","http://unknown.org/organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","waterBody","year","downloadDate"
"1",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2610034","Mammalia",359,"Mexico","Observations",NA,NA,NA,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-23T17:12:11.000+0000",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-22T17:14:35.000+0000",NA,NA,"23:14:35Z","Procyonidae",5311,NA,NA,"Mexico","1233597398","Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2610034",NA,"4880395",NA,NA,NA,NA,"2610034",NA,NA,NA,"iNaturalist",NA,NA,NA,"MX",1233597398,"Animalia",1,NA,"2016-08-10T00:28:58.502+0000","2016-08-10T00:42:22.003+0000","2016-08-10T00:28:58.939+0000",24.88778,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-99.68743,NA,"2016-07-05T23:51:50.000+0000",1,NA,NA,"http://conabio.inaturalist.org/observations/2610034","Apareció en una casa del centro y fue capturado por Protección Civil municipal. Me llamaron para ver que era y si no era mascota.  Es un animal silvestre y espero sea liberado pronto.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Juan Cruzado Cortés",NA,"http://www.inaturalist.org/observations/2610034",NA,"© Juan Cruzado Cortés some rights reserved","Juan Cruzado Cortés",NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",NA,"41676",2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-01-22 17:14:35","Linares, Nuevo Leon, México",NA,NA,2016,2016-08-10
"2",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2559656","Mammalia",359,"Mexico","Observations",NA,NA,60,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-05T21:41:07.000+0000",NA,NA,"03:41:07Z","Procyonidae",5311,NA,NA,"Mexico","1227772319","Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2559656",NA,NA,NA,NA,NA,NA,"2559656",NA,NA,NA,"iNaturalist",NA,NA,NA,"MX",1227772319,"Animalia",1,NA,"2016-08-10T00:28:44.959+0000","2016-08-10T00:41:35.592+0000","2016-08-10T00:28:45.150+0000",19.48239,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-99.25918,NA,"2016-03-24T05:06:58.000+0000",1,NA,NA,"http://conabio.inaturalist.org/observations/2559656",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","alexgarciap",NA,"http://www.inaturalist.org/observations/2559656",NA,"© alexgarciap some rights reserved","alexgarciap",NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",NA,"41676",2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"Tue Jan 05 2016 21:41:07 GMT-0600 (CST)","Calle Moctezuma 20–34, Naucalpan de Juárez, Edomex, MX",NA,NA,2016,2016-08-10
"3",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2572675","Mammalia",359,"United States","Observations",NA,NA,206,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-11T16:04:03.000+0000",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-07T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States","1229612359","Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2572675",NA,"4787735",NA,NA,NA,NA,"2572675",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1229612359,"Animalia",1,NA,"2016-08-10T00:28:49.570+0000","2016-08-10T00:41:48.597+0000","2016-08-10T00:28:49.661+0000",30.41798,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-97.7586,NA,"2016-02-02T15:25:36.000+0000",1,NA,NA,"http://www.inaturalist.org/observations/2572675","My backyard Ringtail (one or both) is still showing up at the bird bath on the wildlife cam very frequently.  For the ~3-1/2 moths I had the camera up for Aug-Dec 2015, I got pictures of one or the other individual on at least 45 nights.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Chuck Sexton",NA,"http://www.inaturalist.org/observations/2572675",NA,"© Chuck Sexton some rights reserved","Chuck Sexton",NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",NA,"41676",2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-01-07","Salton Drive, Austin, Travis Co., TX",NA,NA,2016,2016-08-10
"4",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2965045","Mammalia",359,"United States","Observations",NA,NA,28,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-04-18T15:00:06.000+0000",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-26T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States","1265581555","Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2965045",NA,"5778766",NA,NA,NA,NA,"2965045",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1265581555,"Animalia",1,NA,"2016-08-10T00:30:53.656+0000","2016-08-10T00:47:58.890+0000","2016-08-10T00:30:53.971+0000",30.41218,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-97.78203,NA,"2016-04-26T07:25:18.000+0000",2,NA,NA,"http://www.inaturalist.org/observations/2965045",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","ganzy",NA,"http://www.inaturalist.org/observations/2965045",NA,"© ganzy some rights reserved","ganzy",NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",NA,"41676",2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-02-26","10111 DK Ranch",NA,NA,2016,2016-08-10
"5",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2649445","Mammalia",359,"Mexico","Observations",NA,NA,8,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-03-02T16:33:26.000+0000",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-06T09:16:03.000+0000",NA,NA,"15:16:03Z","Procyonidae",5311,NA,NA,"Mexico","1257409142","Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2649445",NA,"5311297",NA,NA,NA,NA,"2649445",NA,NA,NA,"iNaturalist",NA,NA,NA,"MX",1257409142,"Animalia",1,NA,"2016-08-10T00:29:10.312+0000","2016-08-10T00:43:13.155+0000","2016-08-10T00:29:10.523+0000",19.31428,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-99.19231,NA,"2016-06-08T02:48:59.000+0000",2,NA,NA,"http://www.inaturalist.org/observations/2649445",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","León Felipe González Coronado",NA,"http://www.inaturalist.org/observations/2649445",NA,"© León Felipe González Coronado some rights reserved","León Felipe González Coronado",NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",NA,"41676",2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-02-06 9:16:03 AM CST","Delegación Coyoacán, Ciudad de México (Antes Distrito Federal), MX",NA,NA,2016,2016-08-10
"6",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2656705","Mammalia",359,"United States","Observations",NA,NA,206,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-02-08T16:13:04.000+0000",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-05T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States","1249289370","Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2656705",NA,"4995688",NA,NA,NA,NA,"2656705",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1249289370,"Animalia",1,NA,"2016-08-10T00:29:12.795+0000","2016-08-10T00:43:22.826+0000","2016-08-10T00:29:12.880+0000",30.41798,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-97.7586,NA,"2016-02-20T14:52:04.000+0000",2,NA,NA,"http://www.inaturalist.org/observations/2656705","My backyard Ringtail, which had been visiting the bird bath almost nightly through the fall and early winter, disappeared for several weeks in January, presumably hibernating in what passes for the cold season in Central Texas.  It has now reappeared in early February.  This head-on shot is not terribly useful, but the only other image that night was the last few rings of the tail as it lept out of view, exiting stage right.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Chuck Sexton",NA,"http://www.inaturalist.org/observations/2656705",NA,"© Chuck Sexton some rights reserved","Chuck Sexton",NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",NA,"41676",2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-02-05","Salton Drive, Austin, Travis Co., TX",NA,NA,2016,2016-08-10
"7",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2823509","Mammalia",359,"United States","Observations",NA,NA,28045,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-03-24T03:54:09.000+0000",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-03-19T13:56:31.000+0000",NA,NA,"20:56:31Z","Procyonidae",5311,NA,NA,"United States","1262388573","Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2823509",NA,"5498878",NA,NA,NA,NA,"2823509",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,NA,NA,"US",1262388573,"Animalia",1,NA,"2016-08-10T00:30:09.205+0000","2016-08-10T00:46:10.415+0000","2016-08-10T00:30:09.329+0000",39.69295,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-121.48527,NA,"2016-06-16T23:06:19.000+0000",3,NA,NA,"http://www.inaturalist.org/observations/2823509","Unusually, this individual was active during the day.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","abr",NA,"http://www.inaturalist.org/observations/2823509",NA,"© abr some rights reserved","abr",NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",NA,"41676",2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-03-19 13:56:31","Butte County, US-CA, US",NA,NA,2016,2016-08-10
"8",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2783348","Mammalia",359,"United States","Observations",NA,NA,10,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-03-14T22:52:47.000+0000",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-03-14T13:12:38.000+0000",NA,NA,"18:12:38Z","Procyonidae",5311,NA,NA,"United States","1262376260","Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2783348",NA,"5413587",NA,NA,NA,NA,"2783348",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1262376260,"Animalia",1,NA,"2016-08-10T00:29:53.643+0000","2016-08-10T00:45:31.162+0000","2016-08-10T00:29:53.754+0000",29.65051,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-100.06908,NA,"2016-06-16T23:14:04.000+0000",3,NA,NA,"http://www.inaturalist.org/observations/2783348","I accidentally killed the ringtail when I started my pickup.  Must have been hiding in the fan housing.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Diana-Terry Hibbitts",NA,"http://www.inaturalist.org/observations/2783348",NA,"© Diana-Terry Hibbitts some rights reserved","Diana-Terry Hibbitts",NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",NA,"41676",2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"Mon Mar 14 2016 13:12:38 GMT-0500 (CDT)","County Road 35, Barksdale, TX, US",NA,NA,2016,2016-08-10
"9",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2802130","Mammalia",359,"United States","Observations",NA,NA,206,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-03-19T11:19:28.000+0000",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-03-05T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States","1262382075","Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2802130",NA,"5453166",NA,NA,NA,NA,"2802130",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1262382075,"Animalia",1,NA,"2016-08-10T00:30:00.134+0000","2016-08-10T00:45:50.478+0000","2016-08-10T00:30:00.445+0000",30.41798,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-97.7586,NA,"2016-03-20T15:51:13.000+0000",3,NA,NA,"http://www.inaturalist.org/observations/2802130","Here's a March monthly image of one of my backyard Ringtails.  What intrigues me--other than just having these animals in my yard--is the consistency of their behavior and actions at the bird bath.  Note the posture and position of this animal on this particular night compared to sightings in January and last fall: http://www.inaturalist.org/observations/2572675 http://www.inaturalist.org/observations/2331250",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Chuck Sexton",NA,"http://www.inaturalist.org/observations/2802130",NA,"© Chuck Sexton some rights reserved","Chuck Sexton",NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",NA,"41676",2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-03-05","Salton Drive, Austin, Travis Co., TX",NA,NA,2016,2016-08-10
"10",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2973801","Mammalia",359,"United States","Observations",NA,NA,28,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-04-19T15:00:54.000+0000",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-03-04T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States","1265584212","Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2973801",NA,"5794937",NA,NA,NA,NA,"2973801",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1265584212,"Animalia",1,NA,"2016-08-10T00:30:56.188+0000","2016-08-10T00:48:04.310+0000","2016-08-10T00:30:56.624+0000",30.41221,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-97.78197,NA,"2016-05-06T04:47:52.000+0000",3,NA,NA,"http://www.inaturalist.org/observations/2973801",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Jessamine Qu",NA,"http://www.inaturalist.org/observations/2973801",NA,"© Jessamine Qu some rights reserved","Jessamine Qu",NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",NA,"41676",2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"3-4-2016","10111 DK ranch road austin texas",NA,NA,2016,2016-08-10
