"","X","accessRights","adm1","adm2","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"80",80,"http://www.vertnet.org/resources/norms.html","California","Trinity County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"229631","Mammalia",359,"On Hwy 299, 3 km E by road Big Bar, California, Trinity County, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34904","NORTH_AMERICA",18,"United States",NA,"0daed095-478a-4af6-abf5-18acb790fbb2",NA,"2013-07-31T00:00:00.000+0000",1,NA,NA,NA,"sex=female ; total length=700 mm; tail length=360 mm; hind foot with claw=66 mm; ear from notch=49 mm; weight=750 g; reproductive data=no embs or scars",NA,NA,NA,NA,NA,NA,1,NA,"2013-01-01T00:00:00.000+0000",NA,"DOR",NA,"Procyonidae",5311,NA,NA,"United States",1145809441,"Bassariscus","Bassariscus",2433550,"WGS84",NA,"Christopher J. Conroy","2013-07-31 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia Chordata Mammalia Carnivora Procyonidae","North America, United States, California, Trinity County",NA,NA,NA,NA,"A",NA,"geographic distribution","Christopher J. Conroy","http://arctos.database.museum/guid/MVZ:Mamm:229631?seid=1993408",1,NA,"raptor","MVZ","urn:lsid:biocol.org:col:34777",NA,NA,"US",1145809441,"Animalia",1,"en","2016-08-09T09:39:04.456+0000","2016-08-09T09:41:57.732+0000","2016-08-09T09:39:04.757+0000",40.74078,NA,NA,NA,NA,NA,NA,"On Hwy 299, 3 km E by road Big Bar","Christopher J. Conroy",NA,"Lat long provided by collector Kate Howard",-123.22127,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/MVZ:Mamm:229631?seid=1993408",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MVZ:Mamm:229631","collector number=3033",NA,NA,"Chordata",44,"skin; skull; tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); carcass (formalin-fixed, 70% ethanol)","<i>Bassariscus astutus raptor</i> (accepted ID) identified by Christopher J. Conroy on 2013-07-31; method: geographic distribution","DWC_ARCHIVE","US","8edbbde0-055e-11d8-b850-b8a03c50a862","Collector(s): Kate Howard; Preparator(s): Christopher J. Conroy","3033","http://arctos.database.museum/guid/MVZ:Mamm:229631",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Bassariscus astutus subsp. raptor Baird, 1859",NA,"FEMALE",NA,"Bassariscus astutus",2433557,"astutus",NA,NA,6164418,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"1 Jan 2013","On Hwy 299, 3 km E by road Big Bar, 40° 44' 26.80""N 123° 13' 16.59""W",NA,NA,2013,"2016-08-10",41680,"Bassariscus astutus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",246.771610066,371.215753658,TRUE
"104",104,"http://www.vertnet.org/resources/norms.html","New Mexico","Sierra County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"263609","Mammalia",359,"Ladder Ranch, 1 km N, 10 km W of Caballo, New Mexico, Sierra County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",5,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2015-08-04T00:00:00.000+0000",27,NA,NA,NA,"sex=female ; total length=660 mm; tail length=302 mm; hind foot with claw=68 mm; ear from notch=49 mm; weight=515 g; reproductive data=CSN",NA,NA,NA,NA,1433.36,0,301,NA,"2012-10-27T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States",1145290446,"Bassariscus","Bassariscus",2433550,"WGS84",NA,"Jason L. Malaney","2012-10-27 00:00:00.0","not recorded",NA,"GPS","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Procyonidae;","North America, United States, New Mexico, Sierra County",NA,NA,NA,NA,"A",NA,"student","Jonathan L. Dunnum","http://arctos.database.museum/guid/MSB:Mamm:263609?seid=1928969",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145290446,"Animalia",1,"en","2016-07-28T04:56:01.102+0000","2016-08-04T12:18:30.392+0000","2016-06-24T04:34:09.611+0000",33.00688,NA,NA,NA,NA,NA,NA,"Ladder Ranch, 1 km N, 10 km W of Caballo","Jason L. Malaney",NA,NA,-107.46575,NA,NA,10,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:263609?seid=1928969","Bryan 2. Examined for ectoparasites (38 fleas).",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:263609","NK=215962; preparator number=HMT011",NA,NA,"Chordata",44,"skin; skull; postcranial skeleton; liver (frozen); heart, kidney, lung, spleen (frozen); ectoparasite(s) (70% ethanol)","<i>Bassariscus astutus</i> (accepted ID) identified by Jonathan L. Dunnum on 2015-08-04; method: student<br><i>Bassariscus astuttus</i> identified by Jason L. Malaney on 2012-10-27; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Mammalogy Class 2012; Preparator(s): Heather M. Toman",NA,"http://arctos.database.museum/guid/MSB:Mamm:263609",NA,"http://arctosdb.org/home/data/",NA,NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,"FEMALE",NA,"Bassariscus astutus",2433557,"astutus",NA,NA,2433557,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"27 October 2012","Ladder Ranch, 1 km N, 10 km W of Caballo",NA,NA,2012,"2016-08-10",41680,"Bassariscus astutus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",246.771610066,371.215753658,TRUE
"114",114,"http://www.vertnet.org/resources/norms.html","New Mexico","Socorro County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"225060","Mammalia",359,"Sevilleta National Wildlife Refuge, New Mexico, Socorro County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2010-03-22T00:00:00.000+0000",22,NA,NA,NA,"sex=female ; total length=720 mm; tail length=372 mm; hind foot with claw=57 mm; ear from notch=32 mm; weight=460 g",NA,NA,NA,NA,NA,NA,81,NA,"2010-03-22T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States",1145258384,"Bassariscus","Bassariscus",2433550,"WGS84",NA,"Robert L. Harrison","2010-03-22 00:00:00.0","not recorded",NA,"Not Recorded","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Procyonidae;","North America, United States, New Mexico, Socorro County",NA,NA,NA,NA,"A",NA,"field","Robert L. Harrison","http://arctos.database.museum/guid/MSB:Mamm:225060?seid=628167",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145258384,"Animalia",1,"en","2016-07-28T04:55:51.942+0000","2016-08-04T12:18:36.678+0000","2016-06-24T04:33:46.136+0000",34.3908884670829,NA,NA,NA,NA,NA,NA,"Sevilleta National Wildlife Refuge","Robert L. Harrison",NA,NA,-106.560360977339,NA,NA,3,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:225060?seid=628167","UTM 356591 3806404 13S; Collector requests to extract canine tooth at a later date for age analysis.",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:225060","NK=137933; collector number=RTF8",NA,NA,"Chordata",44,"skull; postcranial skeleton (dry); muscle (frozen); tongue (frozen)","<i>Bassariscus astutus</i> (accepted ID) identified by Robert L. Harrison on 2010-03-22; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Robert L. Harrison; Preparator(s): Jamie H. Raines, Andrea C. Jackson","RTF8","http://arctos.database.museum/guid/MSB:Mamm:225060",NA,"http://arctosdb.org/home/data/",NA,NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,"FEMALE",NA,"Bassariscus astutus",2433557,"astutus",NA,NA,2433557,"SPECIES",NA,"PhysicalObject",NA,NA,"deg. min. sec.",NA,"2010-03-22","Sevilleta National Wildlife Refuge",NA,NA,2010,"2016-08-10",41680,"Bassariscus astutus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",246.771610066,371.215753658,TRUE
"125",125,"http://www.vertnet.org/resources/norms.html","California","Mariposa County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"224583","Mammalia",359,"ca. 6.5 km (by rd)  E Arch Rock Entrance Station, Yosemite National Park, California, Mariposa County, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34904","NORTH_AMERICA",NA,"United States",NA,"0daed095-478a-4af6-abf5-18acb790fbb2",NA,"2009-05-28T00:00:00.000+0000",28,NA,NA,NA,"sex=male ; total length=717 mm; tail length=358 mm; hind foot with claw=66 mm; ear from notch=48 mm; weight=894 g",NA,NA,NA,NA,1124.71,0,148,NA,"2009-05-28T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States",1145803818,"Bassariscus","Bassariscus",2433550,"WGS84",NA,"James L. Patton","2009-12-17 00:00:00.0","not recorded",NA,"GPS","verified by collector",NA,"Animalia Chordata Mammalia Carnivora Procyonidae","North America, United States, California, Mariposa County",NA,NA,NA,NA,"A",NA,"expert","James L. Patton","http://arctos.database.museum/guid/MVZ:Mamm:224583?seid=929279",1,NA,"raptor","MVZ","urn:lsid:biocol.org:col:34777",NA,NA,"US",1145803818,"Animalia",1,"en","2016-08-09T09:39:01.170+0000","2016-08-09T09:41:47.701+0000","2016-08-09T09:39:01.825+0000",37.7197099990867,NA,NA,NA,NA,NA,NA,"ca. 6.5 km (by rd)  E Arch Rock Entrance Station, Yosemite National Park","James L. Patton",NA,NA,-119.69041,NA,NA,5,NA,"ICZN","http://arctos.database.museum/guid/MVZ:Mamm:224583?seid=929279","road killed pick-up by Martin Hutten, NPS Invasive Plant Program Manager, and Alison Colwell, NPS Vegetation Ecologist; given to J. L. Patton (MVZ) for preparation by Les Chow, Data Manager, NPS Inventory and Monitoring Program, Sierra Nevada Network",NA,"Carnivora",732,"http://arctos.database.museum/guid/MVZ:Mamm:224583","collector number=25067",NA,NA,"Chordata",44,"skull; postcranial skeleton; tissue (95% ethanol); tissue (95% ethanol); study skin","<i>Bassariscus astutus raptor</i> (accepted ID) identified by James L. Patton on 2009-05-28; method: expert","DWC_ARCHIVE","US","8edbbde0-055e-11d8-b850-b8a03c50a862","Collector(s): James L. Patton","25067","http://arctos.database.museum/guid/MVZ:Mamm:224583",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Bassariscus astutus subsp. raptor Baird, 1859",NA,"MALE",NA,"Bassariscus astutus",2433557,"astutus",NA,NA,6164418,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"28 May 2009","ca. 6.5 km (by rd)  E Arch Rock Entrance Station, Yosemite National Park, Mariposa Co., California",NA,NA,2009,"2016-08-10",41680,"Bassariscus astutus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",246.771610066,371.215753658,TRUE
"128",128,NA,"California","Santa Barbara",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"9007","Mammalia",359,"Gibraltar Rd.; 4 mi above junction El Cielito Rd., 300 yds below Flores Flat, California, Santa Barbara, United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,"United States",NA,"75018539-6328-41de-b875-7c2e61dc1635",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,"NATIVE","2009-09-29T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States",735673473,"Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification",NA,"Animalia:Chordata:Mammalia:Carnivora:Procyonidae:Bassariscus","North America;United States;California;Santa Barbara County;;;;",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:SBMNH:MAM:9007",1,NA,"octavus","SBMNH","urn:lsid:biocol.org:col:34834",NA,NA,"US",735673473,"Animalia",1,"en","2015-02-17T07:02:22.845+0000","2016-08-04T01:32:45.969+0000","2015-02-17T07:02:22.854+0000",34.48083,NA,NA,NA,NA,NA,NA,"Gibraltar Rd.; 4 mi above junction El Cielito Rd., 300 yds below Flores Flat",NA,NA,NA,-119.68139,NA,"2014-10-10T00:00:00.000+0000",9,NA,"ICZN","urn:catalog:SBMNH:MAM:9007",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","78678140-1815-11da-9544-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,"Bassariscus astutus subsp. octavus Hall, 1926",NA,NA,NA,"Bassariscus astutus",2433557,"astutus",272,NA,6164409,"SUBSPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,"North America; United States; California; Santa Barbara County; ; ; ;",NA,NA,2009,"2016-08-10",41680,"Bassariscus astutus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",246.771610066,371.215753658,TRUE
"129",129,"http://www.vertnet.org/resources/norms.html","New Mexico","Torrance County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"127029","Mammalia",359,"Edgewood, 35 Lexco Road, New Mexico, Torrance County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",200,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2009-11-27T00:00:00.000+0000",27,NA,NA,NA,"sex=female ; total length=753 mm; tail length=396 mm; hind foot with claw=67 mm; ear from notch=44 mm; weight=785 g; reproductive data=no embs",NA,NA,NA,NA,NA,NA,331,NA,"2009-11-27T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States",1145155719,"Bassariscus","Bassariscus",2433550,"WGS84",NA,"Cindy A. Ramotnik","2009-11-27 00:00:00.0","not recorded",NA,"Google Earth","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Procyonidae;","North America, United States, New Mexico, Torrance County",NA,NA,NA,NA,"A",NA,"student","Cindy A. Ramotnik","http://arctos.database.museum/guid/MSB:Mamm:127029?seid=2317968",1,NA,"flavus","MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145155719,"Animalia",1,"en","2016-07-28T04:55:27.084+0000","2016-08-04T12:18:38.725+0000","2016-06-24T04:32:50.744+0000",35.02506,NA,NA,NA,NA,NA,NA,"Edgewood, 35 Lexco Road","Cindy A. Ramotnik",NA,NA,-106.12264,NA,NA,11,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:127029?seid=2317968",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:127029","NK=103792; USGS: U.S. Geological Survey=127029; preparator number=CAR 5041",NA,NA,"Chordata",44,"skin; skull; postcranial skeleton; heart, kidney (frozen); liver (frozen)","<i>Bassariscus astutus flavus</i> (accepted ID) identified by Cindy A. Ramotnik on 2009-11-27; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Michael Detten; Preparator(s): Cindy A. Ramotnik",NA,"http://arctos.database.museum/guid/MSB:Mamm:127029",NA,"http://arctosdb.org/home/data/",NA,NA,"Bassariscus astutus subsp. flavus Rhoads, 1893",NA,"FEMALE",NA,"Bassariscus astutus",2433557,"astutus",NA,NA,6164416,"SUBSPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"27 Nov 2009","New Mexico: Torrance Co., Edgewood, 35 Lexico Rd",NA,NA,2009,"2016-08-10",41680,"Bassariscus astutus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",246.771610066,371.215753658,TRUE
"133",133,NA,"Texas","Tom Green",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"13844","Mammalia",359,"San Angelo, Lone Wolf Bridge, Avenue L, Texas, Tom Green, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,172.52,NA,NA,NA,"2008-03-28T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States",1061288749,"Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061288749,"Animalia",1,NA,"2016-06-28T07:24:30.736+0000","2016-08-04T15:40:26.856+0000","2015-03-03T13:48:27.665+0000",31.4451,NA,NA,NA,NA,NA,NA,"San Angelo, Lone Wolf Bridge, Avenue L",NA,NA,NA,-100.42485,NA,NA,3,NA,NA,"791461c8-7678-4d3b-880f-332e55b71386",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"heart, kidney;liver;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Brashear, Wesley A",NA,NA,NA,NA,NA,NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,"MALE",NA,"Bassariscus astutus",2433557,"astutus",NA,NA,2433557,"SPECIES",NA,NA,NA,NA,NA,"566 m","28 March 2008","San Agnelo, Lone Wolf Bridge, Ave L, N 31° 26'42.9"", W 100° 25'26.6"", 566m elev.","Ringtail",NA,2008,"2016-08-10",41680,"Bassariscus astutus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",246.771610066,371.215753658,TRUE
"135",135,NA,"Texas","Tom Green",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"13821","Mammalia",359,"San Angelo, Loop 306 and US 67 S, Texas, Tom Green, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-09T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States",1061288764,"Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061288764,"Animalia",1,NA,"2016-06-28T07:24:30.736+0000","2016-08-04T15:40:27.072+0000","2015-03-03T13:48:27.696+0000",31.43093,NA,NA,NA,NA,NA,NA,"San Angelo, Loop 306 and US 67 S",NA,NA,NA,-100.50639,NA,NA,4,NA,NA,"bc2560c2-6f60-4456-84bb-ad3215aeb5c1",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,"MALE",NA,"Bassariscus astutus",2433557,"astutus",NA,NA,2433557,"SPECIES",NA,NA,NA,NA,NA,NA,"09 April 2008","San Angelo, Loop 306 at U.S. 67 S","Ringtail",NA,2008,"2016-08-10",41680,"Bassariscus astutus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",246.771610066,371.215753658,TRUE
"137",137,NA,"Morelos","Miacatlán",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"14684","Mammalia",359,"1.2 mi NE Palpan de Baranda, Morelos, Miacatlán, Mexico, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"Mexico",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,512.67,NA,NA,NA,"2007-01-05T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"Mexico",1061289636,"Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"MX",1061289636,"Animalia",1,NA,"2016-06-28T07:24:31.065+0000","2016-08-04T15:40:25.593+0000","2015-03-03T13:48:29.589+0000",18.87882,NA,NA,NA,NA,NA,NA,"1.2 mi NE Palpan de Baranda",NA,NA,NA,-99.40758,NA,NA,1,NA,NA,"202a3002-6c6a-4d14-ae6f-5bbec83da43e",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"liver;liver;kidney;heart;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Guerra, Gema I",NA,NA,NA,NA,NA,NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,"MALE",NA,"Bassariscus astutus",2433557,"astutus",NA,NA,2433557,"SPECIES",NA,NA,NA,NA,NA,"1682 m","05 January 2007","1.2 mi NE Palpan, 18.87882°N, 99.40758°W, 1682m elev.","Ringtail",NA,2007,"2016-08-10",41680,"Bassariscus astutus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",246.771610066,371.215753658,TRUE
"139",139,NA,"Texas","Hays",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"13818","Mammalia",359,"3.7 mi W San Marcos, Ranch Rd 12, Texas, Hays, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,80.77,NA,NA,NA,"2007-02-10T00:00:00.000+0000",NA,NA,NA,"Procyonidae",5311,NA,NA,"United States",1061288767,"Bassariscus","Bassariscus",2433550,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"US",1061288767,"Animalia",1,NA,"2016-06-28T07:24:30.727+0000","2016-08-04T15:40:26.359+0000","2015-03-03T13:48:27.697+0000",29.91229,NA,NA,NA,NA,NA,NA,"3.7 mi W San Marcos, Ranch Rd 12",NA,NA,NA,-98.02665,NA,NA,2,NA,NA,"74af29ea-30d0-42b2-b5b2-f0ba05b4cec9",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"heart, kidney;liver;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Ferguson, Adam W",NA,NA,NA,NA,NA,NA,"Bassariscus astutus (Lichtenstein, 1830)",NA,"FEMALE",NA,"Bassariscus astutus",2433557,"astutus",NA,NA,2433557,"SPECIES",NA,NA,NA,NA,NA,"265 m","10 February 2007","3.7 mi W San Marcos on RR 12, N 29.9122°, W 98.05662°, 265m elev.","Ringtail",NA,2007,"2016-08-10",41680,"Bassariscus astutus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","PROCYONIDAE","LC",246.771610066,371.215753658,TRUE
