"","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http://unknown.org/occurrenceDetails","http://unknown.org/organismID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate"
"1",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2806406","Mammalia",359,"United States","Observations",NA,NA,NA,19,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-03-20T02:29:11.000+0000",6,NA,NA,NA,NA,NA,NA,NA,NA,"2016-03-06T15:09:57.000+0000",NA,"21:09:57Z","Mephitidae",9679,NA,NA,"United States","1262383291","Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2806406",NA,"5459902",NA,NA,NA,NA,NA,"2806406",NA,NA,NA,"iNaturalist",NA,"US",1262383291,"Animalia",1,NA,"2016-08-10T00:30:01.365+0000","2016-08-10T00:45:53.598+0000","2016-08-10T00:30:01.938+0000",30.32723,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-98.91249,"2016-03-20T03:10:27.000+0000",3,NA,NA,"http://www.inaturalist.org/observations/2806406",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Romey Swanson",NA,"http://www.inaturalist.org/observations/2806406",NA,"© Romey Swanson some rights reserved","Romey Swanson",NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,"41877",2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"Sun Mar 06 2016 15:09:57 GMT-0600 (CST)","4079–4359 N US Highway 87, Fredericksburg, TX, US",NA,NA,2016,2016-08-10
"2",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"2756943","Mammalia",359,"United States","Observations",NA,NA,NA,3,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-03-08T03:30:47.000+0000",6,NA,NA,NA,NA,NA,NA,NA,NA,"2016-03-06T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1257415042","Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2756943",NA,"5354971",NA,NA,NA,NA,NA,"2756943",NA,NA,NA,"iNaturalist",NA,"US",1257415042,"Animalia",1,NA,"2016-08-10T00:29:42.876+0000","2016-08-10T00:45:04.218+0000","2016-08-10T00:29:42.956+0000",31.0358,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-99.41838,"2016-03-12T06:02:06.000+0000",3,NA,NA,"http://www.inaturalist.org/observations/2756943","On the way back home from the Texas Academy of Sciences conferences, I spotted a roadkill hognose skunk and some plants (while I was stopped). ",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Sam Kieschnick",NA,"http://www.inaturalist.org/observations/2756943",NA,"© Sam Kieschnick some rights reserved","Sam Kieschnick",NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,"41877",2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-03-06","McCulloch County, US-TX, US",NA,NA,2016,2016-08-10
"3",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"3063199","Mammalia",359,"United States","Observations",NA,NA,NA,3,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-04-30T17:33:13.000+0000",20,NA,NA,NA,NA,NA,NA,NA,NA,"2016-04-20T11:58:05.000+0000",NA,"04:58:05Z","Mephitidae",9679,NA,NA,"United States","1265898389","Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/3063199",NA,"5946472",NA,NA,NA,NA,NA,"3063199",NA,NA,NA,"iNaturalist",NA,"US",1265898389,"Animalia",1,NA,"2016-08-10T00:31:21.716+0000","2016-08-10T00:49:02.584+0000","2016-08-10T00:31:21.800+0000",31.43891,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-110.377,"2016-05-01T08:01:44.000+0000",4,NA,NA,"http://www.inaturalist.org/observations/3063199","Typical posture of a skunk that died from rabies.  Currently a rabies outbreak in the area.",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Christine Hass",NA,"http://www.inaturalist.org/observations/3063199",NA,"© Christine Hass some rights reserved","Christine Hass",NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,"41877",2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-04-20 11:58:05 AM GMT-07:00","Cochise County, US-AZ, US",NA,NA,2016,2016-08-10
"4",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"3383247","Mammalia",359,"United States","Observations",NA,NA,NA,5,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-06-05T01:15:55.000+0000",4,NA,NA,NA,NA,NA,NA,NA,NA,"2016-06-04T20:14:40.000+0000",NA,"01:14:40Z","Mephitidae",9679,NA,NA,"United States","1291079398","Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/3383247",NA,"6460488",NA,NA,NA,NA,NA,"3383247",NA,NA,NA,"iNaturalist",NA,"US",1291079398,"Animalia",1,NA,"2016-08-10T00:32:45.142+0000","2016-08-10T00:52:39.447+0000","2016-08-10T00:32:45.171+0000",30.43573,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-100.70499,"2016-06-29T05:54:01.000+0000",6,NA,NA,"http://www.inaturalist.org/observations/3383247",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Richard W. Brown",NA,"http://www.inaturalist.org/observations/3383247",NA,"© Richard W. Brown some rights reserved","Richard W. Brown",NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,"41877",2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"Sat Jun 04 2016 20:14:40 GMT-0500 (CDT)","US-277 N, Sonora, TX, US",NA,NA,2016,2016-08-10
"5",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"1233362","Mammalia",359,"United States","Observations",NA,NA,NA,5,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-02-14T00:49:11.000+0000",12,NA,NA,NA,NA,NA,NA,NA,NA,"2015-02-12T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1065611291","Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1233362",NA,"2289282",NA,NA,NA,NA,NA,"1233362",NA,NA,NA,"iNaturalist",NA,"US",1065611291,"Animalia",1,NA,"2016-08-10T00:23:46.688+0000","2016-08-10T00:26:02.433+0000","2016-08-10T00:23:47.038+0000",31.34253,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-100.1414,"2015-02-16T18:35:17.000+0000",2,NA,NA,"http://www.inaturalist.org/observations/1233362","Roadkilled DOR adult after dark but seeminly freshly hit. Specimen neither sexed nor retained. On shoulder near farmhouse, relatively flat terrain and no habitat description obtained in dark but much farmland in the area. N31.34253 W-100.14140",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","John Karges",NA,"http://www.inaturalist.org/observations/1233362",NA,"© John Karges some rights reserved","John Karges",NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,"41877",2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-02-12","US87 east of San Angelo, Tom Green County, Texas, USA",NA,NA,2015,2016-08-10
"6",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"1242553","Mammalia",359,"United States","Observations",NA,NA,NA,30,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-02-19T16:56:39.000+0000",15,NA,NA,NA,NA,NA,NA,NA,NA,"2015-02-15T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1065615141","Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1242553",NA,"2311427",NA,NA,NA,NA,NA,"1242553",NA,NA,NA,"iNaturalist",NA,"US",1065615141,"Animalia",1,NA,"2016-08-10T00:23:49.230+0000","2016-08-10T00:26:13.218+0000","2016-08-10T00:23:49.252+0000",30.73971,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-99.01425,"2015-02-21T18:50:27.000+0000",2,NA,NA,"http://www.inaturalist.org/observations/1242553","DOR specimen found by Brush Freeman and Diane Sherrill on StHwy 29. Habitat described as area with decaying granite boulders. Photos provided by and permission to post sighting given by Brush Freeman N30.73971 W-99.01425",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","John Karges",NA,"http://www.inaturalist.org/observations/1242553",NA,"© John Karges some rights reserved","John Karges",NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,"41877",2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-02-15","State Hwy 29, east of Mason, Mason County, Texas, USA",NA,NA,2015,2016-08-10
"7",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"1489423","Mammalia",359,"United States","Observations",NA,NA,NA,5,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-05-15T02:27:53.000+0000",12,NA,NA,NA,NA,NA,NA,NA,NA,"2015-05-12T17:10:22.000+0000",NA,"22:10:22Z","Mephitidae",9679,NA,NA,"United States","1088980577","Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1489423",NA,"2801716",NA,NA,NA,NA,NA,"1489423",NA,NA,NA,"iNaturalist",NA,"US",1088980577,"Animalia",1,NA,"2016-08-10T00:24:37.652+0000","2016-08-10T00:29:29.696+0000","2016-08-10T00:24:37.664+0000",30.49846,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-99.75989,"2015-05-15T11:22:10.000+0000",5,NA,NA,"http://www.inaturalist.org/observations/1489423","Subadult hit on road, rural between semi-wildland and agricultural land in the Llano River valley flood plain. N30.49846 W-99.75989",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","John Karges",NA,"http://www.inaturalist.org/observations/1489423",NA,"© John Karges some rights reserved","John Karges",NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,"41877",2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-05-12 17:10:22","Interstate 10, NE Junction, Kimble County, Texas, United States ",NA,NA,2015,2016-08-10
"8",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"1457875","Mammalia",359,"United States","Observations",NA,NA,NA,NA,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-05-05T20:55:08.000+0000",5,NA,NA,NA,NA,NA,NA,NA,NA,"2015-05-05T15:46:25.000+0000",NA,"20:46:25Z","Mephitidae",9679,NA,NA,"United States","1088970644","Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1457875",NA,"2738214",NA,NA,NA,NA,NA,"1457875",NA,NA,NA,"iNaturalist",NA,"US",1088970644,"Animalia",1,NA,"2016-08-10T00:24:30.637+0000","2016-08-10T00:29:06.812+0000","2016-08-10T00:24:31.117+0000",30.5888,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-100.6732,"2015-05-06T02:17:38.000+0000",5,NA,NA,"http://www.inaturalist.org/observations/1457875","Note the lack of black down the back. Completely white tail and back. Not much of face left looking for...hog nose.",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Liam O'Brien",NA,"http://www.inaturalist.org/observations/1457875",NA,"© Liam O'Brien some rights reserved","Liam O'Brien",NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,"41877",2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"Tue May 05 2015 15:46:25 GMT-0500 (CDT)","Frontage Rd, Sonora, TX, US",NA,NA,2015,2016-08-10
"9",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"1534224","Mammalia",359,"United States","Observations",NA,NA,NA,25,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-05-24T01:44:16.000+0000",22,NA,NA,NA,NA,NA,NA,NA,NA,"2015-05-22T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1092894358","Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1534224",NA,"2881440",NA,NA,NA,NA,NA,"1534224",NA,NA,NA,"iNaturalist",NA,"US",1092894358,"Animalia",1,NA,"2016-08-10T00:24:47.602+0000","2016-08-10T00:30:04.112+0000","2016-08-10T00:24:47.728+0000",29.8485,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-104.2896,"2016-01-06T02:00:37.000+0000",5,NA,NA,"http://www.inaturalist.org/observations/1534224","DOR. Found upside down as in image 1. Turned over for additional images",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Greg Lasley",NA,"http://www.inaturalist.org/observations/1534224",NA,"© Greg Lasley some rights reserved","Greg Lasley",NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,"41877",2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-05-22","US 67 north of Shafter, Texas",NA,NA,2015,2016-08-10
"10",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,"1458325","Mammalia",359,"United States","Observations",NA,NA,NA,NA,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-05-06T00:57:33.000+0000",5,NA,NA,NA,NA,NA,NA,NA,NA,"2015-05-05T15:46:15.000+0000",NA,"19:46:15Z","Mephitidae",9679,NA,NA,"United States","1088970852","Conepatus","Conepatus",2434869,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1458325",NA,"2739171",NA,NA,NA,NA,NA,"1458325",NA,NA,NA,"iNaturalist",NA,"US",1088970852,"Animalia",1,NA,"2016-08-10T00:24:29.705+0000","2016-08-10T00:29:04.106+0000","2016-08-10T00:24:29.723+0000",30.58869,"http://creativecommons.org/licenses/by/4.0/",NA,NA,NA,NA,-100.67272,"2015-05-06T12:37:54.000+0000",5,NA,NA,"http://www.inaturalist.org/observations/1458325",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Mark Rosenstein",NA,"http://www.inaturalist.org/observations/1458325",NA,"© Mark Rosenstein some rights reserved","Mark Rosenstein",NA,"Conepatus leuconotus (Lichtenstein, 1832)",NA,NA,"Conepatus leuconotus",2434878,"leuconotus",NA,"41877",2434878,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-05-05 15:46:15","Sutton, Texas, United States",NA,NA,2015,2016-08-10
