"","X","accessRights","adm1","adm2","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","bed","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","created","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintWKT","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","lithostratigraphicTerms","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"110",110,"http://www.vertnet.org/resources/norms.html","California","Monterey County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"232892","Mammalia",359,"47500 Bitterwater Road, King City, California, Monterey County, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34904","NORTH_AMERICA",NA,25,"United States",NA,NA,"0daed095-478a-4af6-abf5-18acb790fbb2",NA,"2016-06-23T00:00:00.000+0000",30,NA,NA,NA,"sex=male ; total length=872 mm; tail length=168 mm; hind foot with claw=173 mm; ear from notch=82 mm; weight=7006 g; reproductive data=t: 22 x 11, scrotal ; stomach contents=Not saved, but included Mus, Thomomys, Sylvilagus ; examined for parasites=yes",NA,NA,NA,NA,NA,NA,NA,121,NA,"2016-04-30T00:00:00.000+0000","DOR; pickup of DOR",NA,"Felidae",9703,NA,NA,NA,NA,"United States",1273771740,"Lynx","Lynx",2435239,"WGS84",NA,"Christopher J. Conroy","2016-06-23 00:00:00.0","not recorded",NA,"GPS","checked by curator",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, California, Monterey County",NA,NA,NA,NA,"A",NA,NA,"expert","Christopher J. Conroy","http://arctos.database.museum/guid/MVZ:Mamm:232892?seid=3162876",1,NA,"californicus","MVZ","urn:lsid:biocol.org:col:34777",NA,NA,"US",1273771740,"Animalia",1,"en","2016-08-09T09:39:06.598+0000","2016-08-09T09:42:09.756+0000","2016-08-09T09:39:06.680+0000",36.22221,NA,NA,NA,NA,NA,NA,NA,NA,"47500 Bitterwater Road, King City","Christopher J. Conroy",NA,NA,-121.11709,NA,NA,4,NA,"ICZN","http://arctos.database.museum/guid/MVZ:Mamm:232892?seid=3162876",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MVZ:Mamm:232892","MVZ Prep Lab Catalog=3802",NA,NA,"Chordata",44,"skull; tissue (frozen); skeleton","<i>Lynx rufus californicus</i> (accepted ID) identified by Christopher J. Conroy on 2016-06-23; method: expert","DWC_ARCHIVE","US","8edbbde0-055e-11d8-b850-b8a03c50a862","Collector(s): Jimmy A. McGuire; Preparator(s): Kaelin Pukke, Kelley Henning, Seth Larosa, Tierne Nickel",NA,"http://arctos.database.museum/guid/MVZ:Mamm:232892",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,"DOR","Lynx rufus subsp. californicus Mearns, 1897",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,6164672,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"30 Apr 2016","47500 Bitterwater Road, King City, Monterey County, 36.2222050000, -121.1170870000",NA,NA,NA,2016,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"706",706,"http://vertnet.org/resources/norms.html","New York","Tioga County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"22637","Mammalia",359,"Spencer Township, Hillview Road, New York, Tioga County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,1046,"United States",NA,NA,"35720b3e-aded-4b83-b4f1-967f1d457d6a",NA,NA,23,NA,NA,NA,"sex=male ; total length=6850 mm; tail length=125 mm; hind foot with claw=158 mm; ear from notch=65 mm; weight=4760 g; reproductive data=Testis 15 x 9 mm",NA,NA,NA,NA,NA,NA,NA,296,NA,"2013-10-23T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",1229658565,"Lynx","Lynx",2435239,"WGS84",NA,"Lea Callan","2015-11-19 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, New York, Tioga County",NA,NA,NA,NA,"A",NA,NA,"field","Michi T. Schulenberg","http://arctos.database.museum/guid/CUMV:Mamm:22637?seid=3081118",1,NA,NA,"CUMV","http://grbio.org/cool/i64g-wjcr",NA,NA,"US",1229658565,"Animalia",1,"en","2016-07-28T04:38:20.467+0000","2016-08-03T13:48:56.045+0000","2016-06-24T04:01:23.643+0000",42.2923,NA,NA,NA,NA,NA,NA,NA,NA,"Spencer Township, Hillview Road","Lea Callan",NA,NA,-76.5078,NA,NA,10,NA,"ICZN","http://arctos.database.museum/guid/CUMV:Mamm:22637?seid=3081118","Collected by Tom Sharpe",NA,"Carnivora",732,"http://arctos.database.museum/guid/CUMV:Mamm:22637","preparator number=MTS 228",NA,NA,"Chordata",44,"tissue (frozen); study skin","<i>Lynx rufus</i> (accepted ID) identified by Michi T. Schulenberg; method: field","DWC_ARCHIVE","US","cf9ceb80-9f3d-11da-b791-b8a03c50a862","Collector(s): Public Salvage",NA,"http://arctos.database.museum/guid/CUMV:Mamm:22637",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,"found dead in road","Lynx rufus (Schreber, 1777)",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"23 Oct 2013","Hillview Rd, West Danby",NA,NA,NA,2013,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"947",947,"http://www.vertnet.org/resources/norms.html","New Mexico","Grant County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"230704","Mammalia",359,"No specific locality recorded., New Mexico, Grant County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2011-02-23T00:00:00.000+0000",23,NA,NA,NA,"sex=recorded as unknown",NA,NA,NA,NA,NA,NA,NA,54,NA,"2011-02-23T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",1145264643,"Lynx","Lynx",2435239,"WGS84",NA,"Daniel Cook","2011-02-23 00:00:00.0","not recorded",NA,"GPS","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, New Mexico, Grant County",NA,NA,NA,NA,"A",NA,NA,"field","Daniel Cook","http://arctos.database.museum/guid/MSB:Mamm:230704?seid=1213653",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145264643,"Animalia",1,"en","2016-07-28T04:55:53.539+0000","2016-08-04T12:18:30.412+0000","2016-06-24T04:33:49.425+0000",32.96667,NA,NA,NA,NA,NA,NA,NA,NA,"No specific locality recorded.","Daniel Cook",NA,NA,-107.9,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:230704?seid=1213653",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:230704","NK=197654",NA,NA,"Chordata",44,"skull; tongue (frozen); muscle (frozen); brain (frozen); muscle (frozen) sample; muscle (frozen) sample","<i>Lynx rufus</i> (accepted ID) identified by Daniel Cook on 2011-02-23; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Daniel Cook; Preparator(s): Randle D. McCain",NA,"http://arctos.database.museum/guid/MSB:Mamm:230704",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,NA,NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"23 Feb 2011","No specific locality recorded.",NA,NA,NA,2011,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"955",955,"http://vertnet.org/resources/norms.html","Michigan","Cheboygan",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"178428","Mammalia",359,"Swamp, Michigan, Cheboygan, United States, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34916","NORTH_AMERICA",NA,NA,"United States",NA,NA,"6d2cfc0a-9903-40b8-802b-403398218e4a",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,"NATIVE","2011-04-07T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",784069264,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification",NA,"Carnivora | Felidae | Lynx","| USA | Michigan | Cheboygan |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UMMZ:Mammals:178428",NA,NA,"rufus","UMMZ","urn:lsid:biocol.org:col:34917",NA,NA,"US",784069264,"Animalia",1,"en","2015-07-16T13:30:03.257+0000","2016-08-04T00:59:13.394+0000","2015-04-07T16:41:06.431+0000",45.271,NA,NA,NA,NA,NA,NA,NA,NA,"Swamp",NA,NA,NA,-84.532,NA,"2015-04-06T00:00:00.000+0000",4,NA,"ICZN","urn:catalog:UMMZ:Mammals:178428","No Year","present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","6ea87510-0561-11d8-b851-b8a03c50a862","P. Myers","PM9222","http://portal.vertnet.org/o/ummz/mammals?id=178428",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Lynx rufus subsp. rufus",NA,NA,NA,"Lynx rufus",2435246,"rufus",97,NA,7193912,"SUBSPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"7 April 2011","USA | Michigan | Cheboygan | Swamp",NA,NA,NA,2011,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"980",980,"http://vertnet.org/resources/norms.html","Colorado","Boulder County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"13194","Mammalia",359,"Longmont, 1707 Lefthand Drive, Colorado, Boulder County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,100,"United States",NA,NA,"5f3463d2-51b6-4a8a-b252-9bab4388934e",NA,"2011-10-10T00:00:00.000+0000",10,NA,NA,NA,"sex=male ; total length=575 mm; tail length=93 mm; hind foot with claw=134 mm; ear from notch=76 mm; weight=2.3 kg; reproductive data=testes: 6x9 mm ; age class=juvenile ; verbatim preservation date=18 September 2012",NA,NA,NA,NA,NA,1523,0,283,NA,"2011-10-10T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",1145097691,"Lynx","Lynx",2435239,"WGS84",NA,"Meghan L. Truckey","2013-05-17 00:00:00.0","GeoLocate",NA,"GeoLocate","checked by curator",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, Colorado, Boulder County",NA,NA,NA,NA,"A",NA,NA,"field","Greenwood Wildlife Rehabilitation Center","http://arctos.database.museum/guid/DMNS:Mamm:13194?seid=1952494",1,NA,NA,"DMNS","urn:lsid:biocol.org:col:35013",NA,NA,"US",1145097691,"Animalia",1,"en","2016-07-28T04:44:42.706+0000","2016-08-04T00:09:33.332+0000","2016-06-24T04:06:45.733+0000",40.13986,NA,NA,NA,NA,NA,NA,"JUVENILE",NA,"Longmont, 1707 Lefthand Drive","Meghan L. Truckey",NA,NA,-105.11907,NA,NA,10,NA,"ICZN","http://arctos.database.museum/guid/DMNS:Mamm:13194?seid=1952494","The bobcat was attacked by a dog and died in <24 hours. Animal Control was called to locality by a report of a young bobcat that had been mauled by a dog before it could be caught. It has probable deciduous teeth, puncture wounds to abdomen and thorax, and it was over-hydrated (from IV fludis?). There were no ectoparasites found.",NA,"Carnivora",732,"http://arctos.database.museum/guid/DMNS:Mamm:13194","DZTM: Denver Zoology Tissue Mammal=1897; collector number=GWRC ID#2443; secondary identifier=CO Bobcat #1100066",NA,NA,"Chordata",44,"liver (frozen); heart (frozen); study skin; kidney (frozen); muscle (frozen); skeleton; endoparasite(s) (ethanol); kidney (frozen) sample","<i>Lynx rufus</i> (accepted ID) identified by Greenwood Wildlife Rehabilitation Center on 2011-10-10; method: field","DWC_ARCHIVE","US","a2ef6dd1-8886-48c9-8025-c62bac973cc7","Collector(s): Greenwood Wildlife Rehabilitation Center; Preparator(s): Robin Starr","GWRC ID#2443","http://arctos.database.museum/guid/DMNS:Mamm:13194",NA,"http://creativecommons.org/licenses/by-nc/3.0",NA,"dog kill","Lynx rufus (Schreber, 1777)",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"10 October 2011","Longmont, 1707 Left Hand Drive",NA,NA,NA,2011,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"988",988,NA,"Oklahoma","Cleveland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"58226","Mammalia",359,"Hwy 9 between 84th and 96th Aves, Norman, Oklahoma, Cleveland, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,762,"United States",NA,NA,"84aefc7e-f762-11e1-a439-00145eb45e9a",NA,NA,21,NA,NA,"In collection","{""totalLengthInmm"":""800"", ""tailLengthInmm"":""147"", ""hindfootLengthInmm"":""150"", ""earLengthInmm"":""63"", ""weightInkg"":""7.24""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-12-21T00:00:00.000+0000",NA,NA,"Felidae",9703,"Yes",NA,NA,NA,"United States",894749963,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,"GEOLocate [www.museum.tulane.edu/geolocate/]",NA,NA,"Verified by data custodian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:OMNH:Mammals:58226",NA,NA,NA,"OMNH",NA,NA,NA,"US",894749963,"Animalia",1,"English","2016-08-09T08:14:52.590+0000","2016-08-09T08:22:49.650+0000","2016-08-09T08:14:52.995+0000",35.18934,NA,NA,NA,NA,NA,NA,"ADULT",NA,"Hwy 9 between 84th and 96th Aves, Norman",NA,NA,NA,-97.30922,NA,"2016-04-09T00:00:00.000+0000",12,NA,NA,"urn:catalog:OMNH:Mammals:58226",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skin, skeleton, tissues",NA,"DWC_ARCHIVE","US","609765e0-4ce8-11db-b80e-b8a03c50a862","McIntosh, P. J.","MP , 3892",NA,"no embs",NA,"Sam Noble Oklahoma Museum of Natural History",NA,"Lynx rufus (Schreber, 1777)",NA,NA,NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bobcat",NA,2011,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"995",996,NA,"Oklahoma","Oklahoma",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"39457","Mammalia",359,"Western Ave between Coffee Creek Rd and Sorghum Mill Rd, Edmond, Oklahoma, Oklahoma, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,723,"United States",NA,NA,"84aefc7e-f762-11e1-a439-00145eb45e9a",NA,NA,11,NA,NA,"In collection","{""totalLengthInmm"":""630"", ""tailLengthInmm"":""120"", ""hindfootLengthInmm"":""138"", ""earLengthInmm"":""62"", ""weightIng"":""2950""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-11T00:00:00.000+0000",NA,NA,"Felidae",9703,"Yes",NA,NA,NA,"United States",894750099,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,"GEOLocate [www.museum.tulane.edu/geolocate/]",NA,NA,"Verified by data custodian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:OMNH:Mammals:39457",NA,NA,NA,"OMNH",NA,NA,NA,"US",894750099,"Animalia",1,"English","2016-08-09T08:14:40.924+0000","2016-08-09T08:22:21.502+0000","2016-08-09T08:14:40.999+0000",35.70411,NA,NA,NA,NA,NA,NA,NA,NA,"Western Ave between Coffee Creek Rd and Sorghum Mill Rd, Edmond",NA,NA,NA,-97.53193,NA,"2016-07-07T00:00:00.000+0000",1,NA,NA,"urn:catalog:OMNH:Mammals:39457","DOR",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skin, skeleton, tissues",NA,"DWC_ARCHIVE","US","609765e0-4ce8-11db-b80e-b8a03c50a862","Gould, S.","MP , 2149",NA,"TS=16x10",NA,"Sam Noble Oklahoma Museum of Natural History",NA,"Lynx rufus (Schreber, 1777)",NA,NA,NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bobcat",NA,2010,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"1014",1015,"http://www.vertnet.org/resources/norms.html","California","Santa Clara County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"228199","Mammalia",359,"Intersection Winchester Blvd and Lark Ave, Los Gatos, California, Santa Clara County, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34904","NORTH_AMERICA",NA,84,"United States",NA,NA,"0daed095-478a-4af6-abf5-18acb790fbb2",NA,"2010-07-08T00:00:00.000+0000",8,NA,NA,NA,"sex=male ; total length=830 mm; tail length=130 mm; hind foot with claw=150 mm; ear from notch=70 mm; weight=6648 g",NA,NA,NA,NA,NA,NA,NA,189,NA,"2010-07-08T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",1145807879,"Lynx","Lynx",2435239,"WGS84",NA,"Christopher J. Conroy","2010-07-08 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, California, Santa Clara County",NA,NA,NA,NA,"A",NA,NA,"expert","Denise Friedrich","http://arctos.database.museum/guid/MVZ:Mamm:228199?seid=1877847",1,NA,"californicus","MVZ","urn:lsid:biocol.org:col:34777",NA,NA,"US",1145807879,"Animalia",1,"en","2016-08-09T09:39:03.649+0000","2016-08-09T09:41:53.595+0000","2016-08-09T09:39:03.825+0000",37.25325,NA,NA,NA,NA,NA,NA,NA,NA,"Intersection Winchester Blvd and Lark Ave, Los Gatos","Christopher J. Conroy",NA,NA,-121.96747,NA,NA,7,NA,"ICZN","http://arctos.database.museum/guid/MVZ:Mamm:228199?seid=1877847","testis: 15x12 mm",NA,"Carnivora",732,"http://arctos.database.museum/guid/MVZ:Mamm:228199","MVZ Prep Lab Catalog=1401",NA,NA,"Chordata",44,"skull; tissue (frozen); skeleton; stomach content (70% ethanol)","<i>Lynx rufus californicus</i> (accepted ID) identified by Denise Friedrich on 2010-07-08; method: expert","DWC_ARCHIVE","US","8edbbde0-055e-11d8-b850-b8a03c50a862","Collector(s): Denise Friedrich; Preparator(s): Monica J. Albe, Omar Malik, Joshua V. Penalba, Kieran Bates",NA,"http://arctos.database.museum/guid/MVZ:Mamm:228199",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Lynx rufus subsp. californicus Mearns, 1897",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,6164672,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"8 July 2010","Intersection of Winchester and Lark, Los Gatos, Santa Clara County California",NA,NA,NA,2010,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"1135",1237,"http://www.vertnet.org/resources/norms.html","New Mexico","Torrance County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"196621","Mammalia",359,"4.6 mi. South Clines Corners on US Hwy 285, mile marker 244, Elevation 6851 ft + or - 20, New Mexico, Torrance County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2009-04-05T00:00:00.000+0000",5,NA,NA,NA,"sex=male ; total length=815 mm; tail length=165 mm; hind foot with claw=187 mm; ear from notch=82 mm; reproductive data=scrotal, t=19 mm",NA,NA,NA,NA,NA,2088.18,0,95,NA,"2009-04-05T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",1145227215,"Lynx","Lynx",2435239,"WGS84",NA,"Mariel L. Campbell","2009-04-05 00:00:00.0","not recorded",NA,"GPS","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae;","North America, United States, New Mexico, Torrance County",NA,NA,NA,NA,"A",NA,NA,"field","Mariel L. Campbell","http://arctos.database.museum/guid/MSB:Mamm:196621?seid=1230591",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145227215,"Animalia",1,"en","2016-07-28T04:55:45.151+0000","2016-08-04T12:18:39.079+0000","2016-06-24T04:33:28.333+0000",34.94505,NA,NA,NA,NA,NA,NA,NA,NA,"4.6 mi. South Clines Corners on US Hwy 285, mile marker 244, Elevation 6851 ft + or - 20","Mariel L. Campbell",NA,NA,-105.62908,NA,NA,4,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:196621?seid=1230591",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:196621","NK=180624; preparator number=3001",NA,NA,"Chordata",44,"skin; skull; postcranial skeleton; heart (frozen); ectoparasite(s) (70% ethanol); liver (frozen); heart (frozen) sample; heart (frozen) sample","<i>Lynx rufus</i> (accepted ID) identified by Mariel L. Campbell on 2009-04-05; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Mariel L. Campbell; Preparator(s): Mariel L. Campbell",NA,"http://arctos.database.museum/guid/MSB:Mamm:196621",NA,"http://arctosdb.org/home/data/",NA,NA,"Lynx rufus (Schreber, 1777)",NA,"MALE",NA,"Lynx rufus",2435246,"rufus",NA,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"5 April 2009","4.6 mi. South Clines Corners on US Hwy 285, mile marker 244, Elevation 6851 ft + or - 20",NA,NA,NA,2009,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
"1153",1255,NA,"California","Napa Co.",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"28801","Mammalia",359,"Napa, 2930 Redwood Road., California, Napa Co., United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"6ce7290f-47f6-4046-8356-371f5b6749df",NA,NA,28,NA,NA,NA,"Tail=125.0 mm; Hind Foot=153.0 mm; Ear=72.0 mm.; Weight=no weight recorded; Length=70.5 cm. S.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-28T00:00:00.000+0000",NA,NA,"Felidae",9703,NA,NA,NA,NA,"United States",583536993,"Lynx","Lynx",2435239,"WGS84",NA,NA,NA,"Google Earth",NA,NA,"unverrified",NA,"Animalia; Chordata; Mammalia; Carnivora; Felidae","North America; USA; California; Napa Co.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:CAS:MAM:28801",NA,NA,NA,"CAS",NA,NA,NA,"US",583536993,"Animalia",1,"en","2016-08-09T10:34:01.856+0000","2016-08-04T00:58:23.437+0000","2016-03-29T19:22:56.175+0000",38.31655,NA,NA,NA,NA,NA,NA,NA,NA,"Napa, 2930 Redwood Road.",NA,NA,NA,-122.33861,NA,NA,11,NA,NA,"urn:catalog:CAS:MAM:28801","Pelt and complete skeleton, tissues, and pelt.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SL; TISSUE",NA,"DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","R. E. Jones",NA,NA,NA,NA,NA,NA,"Lynx rufus (Schreber, 1777)",NA,NA,NA,"Lynx rufus",2435246,"rufus",332,NA,2435246,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"28 November 2009",NA,NA,NA,NA,2009,"2016-08-10",12521,"Lynx rufus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","LC",601.332757973,1033.87430715,TRUE
