"","accessRights","adm1","adm2","associatedSequences","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferenceProtocol","georeferenceRemarks","georeferenceVerificationStatus","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identifiedBy","identifier","individualCount","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationRemarks","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"5",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN","M.47321.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,29,NA,NA,NA,NA,NA,NA,NA,"2012-06-29T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210412",NA,NA,"Macropodidae",9372,"Australia","1101230186","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40e3f788-f536-4d2e-8067-f6e55e720775",NA,"AM",NA,"AU",1101230186,"Animalia",1,NA,"2016-08-19T08:07:06.159+0000","2016-08-04T14:22:23.446+0000","2016-03-12T00:31:42.938+0000",-15.9711,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Near the junction of Lake Argyle Road and Victoria Highway (15° 58' 16"" S, 128° 57' 00"" E) 29/06/2012 - 29/06/2012, Walker, Barbara(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Road kill, Accession"";",128.95,NA,6,NA,"40e3f788-f536-4d2e-8067-f6e55e720775",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Walker, Barbara",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2012,2016-08-25,40561,"Macropus antilopinus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",112.756067892,43.0872319303,TRUE
"66",NA,"Northern Territory",NA,NA,"PRESERVED_SPECIMEN","M.47303.002","Mammalia",359,"Northern Territory, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"2007-10-04T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210356",NA,NA,"Macropodidae",9372,"Australia","1101230088","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"e330e227-50c1-412f-a377-46d589329fb9",NA,"AM",NA,"AU",1101230088,"Animalia",1,NA,"2016-08-19T08:07:06.157+0000","2016-08-04T14:22:12.145+0000","2016-03-12T00:31:43.000+0000",-12.816,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Northern Territory, Litchfield, Darwin River (12° 49' 00"" S, 130° 57' 00"" E) 04/10/2007 - 04/10/2007, Hirst, Sarah(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Accession"";",130.95,NA,10,NA,"e330e227-50c1-412f-a377-46d589329fb9",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Hirst, Sarah",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2007,2016-08-25,40561,"Macropus antilopinus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",112.756067892,43.0872319303,TRUE
"85",NA,"Northern Territory",NA,NA,"PRESERVED_SPECIMEN","M.47301.002","Mammalia",359,"Northern Territory, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-11-01T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210238",NA,NA,"Macropodidae",9372,"Australia","1101230068","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"b609ca46-aaff-4652-a6cb-46e9ce40fa5f",NA,"AM",NA,"AU",1101230068,"Animalia",1,NA,"2016-08-19T08:07:06.151+0000","2016-08-04T14:22:15.439+0000","2016-03-12T00:31:42.939+0000",-14.5,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Northern Territory, 136km west of Katherine (14° 30' 00"" S, 131° 00' 00"" E) 01/11/2006 - 01/11/2006, Legge, Sarah(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Road kill, Accession"";",131,NA,11,NA,"b609ca46-aaff-4652-a6cb-46e9ce40fa5f",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Legge, Sarah",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2006,2016-08-25,40561,"Macropus antilopinus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",112.756067892,43.0872319303,TRUE
"91",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN","M.47366.003","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,"2005-04-21T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210449",NA,NA,"Macropodidae",9372,"Australia","1101230234","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4a46ee7b-c83a-4572-a420-9ce01e22515f",NA,"AM",NA,"AU",1101230234,"Animalia",1,NA,"2016-08-19T08:07:06.178+0000","2016-08-04T14:22:36.675+0000","2016-03-12T00:31:43.001+0000",-18.283,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Georgetown (18° 17' 00"" S, 143° 32' 00"" E) 21/04/2005 - 21/04/2005, Ritchie, Dr. Euan - Deakin University - School of Life and Environmental Sciences(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Road kill, Ac"";",143.533,NA,4,NA,"4a46ee7b-c83a-4572-a420-9ce01e22515f",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ritchie, Dr Euan - Deakin University - School of Life and Environmental Sciences",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2005,2016-08-25,40561,"Macropus antilopinus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",22.0546987111,11.6034284414,TRUE
"92",NA,"Northern Territory",NA,NA,"PRESERVED_SPECIMEN","M.47346.001","Mammalia",359,"Northern Territory, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,"2005-04-09T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210423",NA,NA,"Macropodidae",9372,"Australia","1101230216","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"78237e2a-823d-4fdb-b18a-d624e5959b03",NA,"AM",NA,"AU",1101230216,"Animalia",1,NA,"2016-08-19T08:07:06.166+0000","2016-08-04T14:22:13.457+0000","2016-03-12T00:31:42.982+0000",-13.75,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Northern Territory, 50km west of Katherine (13° 45' 00"" S, 130° 41' 00"" E) 09/04/2005 - 09/04/2005, Ritchie, Dr. Euan - Deakin University - School of Life and Environmental Sciences(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Prese"";",131.47499,NA,4,NA,"78237e2a-823d-4fdb-b18a-d624e5959b03",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ritchie, Dr Euan - Deakin University - School of Life and Environmental Sciences",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2005,2016-08-25,40561,"Macropus antilopinus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",112.756067892,43.0872319303,TRUE
"102",NA,"Northern Territory",NA,NA,"PRESERVED_SPECIMEN","M.47331.001","Mammalia",359,"Northern Territory, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,"2005-05-08T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210486",NA,NA,"Macropodidae",9372,"Australia","1101230136","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2cc1f870-0fd6-4122-b804-2605495fe4b1",NA,"AM",NA,"AU",1101230136,"Animalia",1,NA,"2016-08-19T08:07:06.162+0000","2016-08-04T14:22:12.219+0000","2016-03-12T00:31:42.965+0000",-12.45,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Northern Territory, Darwin (12° 27' 00"" S, 130° 50' 00"" E) 08/05/2005 - 08/05/2005, Ritchie, Dr. Euan - Deakin University - School of Life and Environmental Sciences(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Animal in""; ecatalogue.SqsCityTown: ""Darwin"";",130.833,NA,5,NA,"2cc1f870-0fd6-4122-b804-2605495fe4b1",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ritchie, Dr Euan - Deakin University - School of Life and Environmental Sciences",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2005,2016-08-25,40561,"Macropus antilopinus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",112.756067892,43.0872319303,TRUE
"103",NA,"Northern Territory",NA,NA,"PRESERVED_SPECIMEN","M.47337.002","Mammalia",359,"Northern Territory, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,"2005-05-08T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210545",NA,NA,"Macropodidae",9372,"Australia","1101230223","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"daf0e63f-4dee-4898-9fdb-2db4081de1bb",NA,"AM",NA,"AU",1101230223,"Animalia",1,NA,"2016-08-19T08:07:06.162+0000","2016-08-04T14:22:11.149+0000","2016-03-12T00:31:42.989+0000",-12.616,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Northern Territory, Humpty Doo (12° 37' 00"" S, 131° 15' 00"" E) 08/05/2005 - 08/05/2005, Ritchie, Dr. Euan - Deakin University - School of Life and Environmental Sciences(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Anima"";",131.25,NA,5,NA,"daf0e63f-4dee-4898-9fdb-2db4081de1bb",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ritchie, Dr Euan - Deakin University - School of Life and Environmental Sciences",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2005,2016-08-25,40561,"Macropus antilopinus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",112.756067892,43.0872319303,TRUE
"109",NA,"Northern Territory",NA,NA,"PRESERVED_SPECIMEN","M.47341.001","Mammalia",359,"Northern Territory, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,"2005-05-08T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210428",NA,NA,"Macropodidae",9372,"Australia","1101230258","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b9b6820-914f-4ae2-b89d-b9f26c0f1597",NA,"AM",NA,"AU",1101230258,"Animalia",1,NA,"2016-08-19T08:07:06.168+0000","2016-08-04T14:22:12.532+0000","2016-03-12T00:31:42.989+0000",-13.083,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Northern Territory, Batchelor (13° 05' 00"" S, 131° 02' 00"" E) 08/05/2005 - 08/05/2005, Ritchie, Dr. Euan - Deakin University - School of Life and Environmental Sciences(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Animal"";",131.033,NA,5,NA,"4b9b6820-914f-4ae2-b89d-b9f26c0f1597",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ritchie, Dr Euan - Deakin University - School of Life and Environmental Sciences",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2005,2016-08-25,40561,"Macropus antilopinus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",112.756067892,43.0872319303,TRUE
"112",NA,"Northern Territory",NA,NA,"PRESERVED_SPECIMEN","M.47357.001","Mammalia",359,"Northern Territory, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,8,NA,NA,NA,NA,NA,NA,NA,"2005-05-08T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210543",NA,NA,"Macropodidae",9372,"Australia","1101230291","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"517a18ce-b4dc-4d3f-8b43-444c41838dff",NA,"AM",NA,"AU",1101230291,"Animalia",1,NA,"2016-08-19T08:07:06.176+0000","2016-08-04T14:22:09.021+0000","2016-03-12T00:31:43.023+0000",-12.183,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Northern Territory, Gove (12° 11' 00"" S, 136° 46' 00"" E) 08/05/2005 - 08/05/2005, Ritchie, Dr. Euan - Deakin University - School of Life and Environmental Sciences(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Animal in c"";",136.766,NA,5,NA,"517a18ce-b4dc-4d3f-8b43-444c41838dff",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ritchie, Dr Euan - Deakin University - School of Life and Environmental Sciences",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2005,2016-08-25,40561,"Macropus antilopinus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",112.756067892,43.0872319303,TRUE
"117",NA,"Northern Territory",NA,NA,"PRESERVED_SPECIMEN","M.47355.002","Mammalia",359,"Northern Territory, Australia","Mammalogy",NA,NA,0.001,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,"2005-07-07T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1210422",NA,NA,"Macropodidae",9372,"Australia","1101230285","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6abb2597-002f-48ba-90f9-959556ed4406",NA,"AM",NA,"AU",1101230285,"Animalia",1,NA,"2016-08-19T08:07:06.173+0000","2016-08-04T14:22:13.403+0000","2016-03-12T00:31:42.992+0000",-13.75,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Northern Territory, Daly River (13° 45' 00"" S, 130° 41' 00"" E) 07/07/2005 - 07/07/2005, Ritchie, Dr. Euan - Deakin University - School of Life and Environmental Sciences(Collector), Eldridge, Dr. Mark D. B. - Australian Museum(Presenter), Anima"";",130.683,NA,7,NA,"6abb2597-002f-48ba-90f9-959556ed4406",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ritchie, Dr Euan - Deakin University - School of Life and Environmental Sciences",NA,NA,NA,NA,"Macropus antilopinus (Gould, 1841)",NA,"Macropus antilopinus",5219988,"antilopinus",NA,NA,5219988,"SPECIES",NA,NA,NA,NA,NA,NA,"Antilopine Wallaroo",2005,2016-08-25,40561,"Macropus antilopinus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",112.756067892,43.0872319303,TRUE
