"","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestEpochOrLowestSeries","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","group","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"22",NA,"New South Wales",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.48034.001","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-12-17T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1232537",NA,NA,"Macropodidae",9372,"Australia","1270037518","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3f67223f-3b3e-4095-bf5e-6c089402097e",NA,NA,NA,"AM",NA,NA,NA,"AU",1270037518,"Animalia",1,NA,"2016-08-19T08:07:06.393+0000","2016-08-04T14:23:30.119+0000","2016-06-03T13:06:31.763+0000",-32.6525,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, 19 km south-east of Mudgee, Castlereagh Highway, near Melrose Road turnoff at Mu... (32° 39' 09"" S, 149° 40' 12"" E) 17/12/2015 - 17/12/2015, Campbell, Mr. Gordon A(Collector and presenter), Road kill, Accession"";",149.66999,NA,NA,12,NA,"3f67223f-3b3e-4095-bf5e-6c089402097e",NA,NA,"Diprotodontia",1452,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae",NA,NA,NA,NA,NA,"Macropus giganteus Shaw, 1790",NA,"Macropus giganteus",5219981,"giganteus",NA,NA,5219981,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Eastern Grey Kangaroo",2015,2016-08-25,41513,"Macropus giganteus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",135.838325272,204.644168613,TRUE
"88",NA,"New South Wales",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.46840.003","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-01-01T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1206194",NA,NA,"Macropodidae",9372,"Australia","1253402353","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e15524aa-a1df-4608-8288-1f6dd0bce8e5",NA,NA,NA,"AM",NA,NA,NA,"AU",1253402353,"Animalia",1,NA,"2016-08-19T08:07:06.059+0000","2016-08-04T14:23:27.675+0000","2016-03-12T00:31:42.545+0000",-32.24388,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, Dubbo area (32° 14' 38"" S, 148° 36' 34"" E) 2014 - 2014, Smith, Sascha(Collector and presenter), Teteris, Ms Louise - Australian Museum - Exhibition Department(Presenter), Road kill, Accession"";",148.60944,NA,NA,NA,NA,"e15524aa-a1df-4608-8288-1f6dd0bce8e5",NA,NA,"Diprotodontia",1452,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae",NA,NA,NA,NA,NA,"Macropus giganteus Shaw, 1790",NA,"Macropus giganteus",5219981,"giganteus",NA,NA,5219981,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Eastern Grey Kangaroo",2014,2016-08-25,41513,"Macropus giganteus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",135.838325272,204.644168613,TRUE
"9398",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.45984.001","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-15T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1180041",NA,NA,"Macropodidae",9372,"Australia","1101228257","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24f087b5-4f2e-4172-b347-7766848d7a4f",NA,NA,NA,"AM",NA,NA,NA,"AU",1101228257,"Animalia",1,NA,"2016-08-19T08:07:05.840+0000","2016-08-04T14:22:44.227+0000","2015-07-17T07:04:49.638+0000",-21.83082,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Landsborough Highway, 85.8 km NW of Winton (21° 49' 51"" S, 142° 34' 20"" E) 15/10/2013 - 15/10/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Collect"";",142.57221,NA,NA,10,NA,"24f087b5-4f2e-4172-b347-7766848d7a4f",NA,NA,"Diprotodontia",1452,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus giganteus Shaw, 1790",NA,"Macropus giganteus",5219981,"giganteus",NA,NA,5219981,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Eastern Grey Kangaroo",2013,2016-08-25,41513,"Macropus giganteus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",135.838325272,204.644168613,TRUE
"9410",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.45991.001","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-16T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1180065",NA,NA,"Macropodidae",9372,"Australia","1101228272","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3eeef531-2339-4f08-a426-58a64facf793",NA,NA,NA,"AM",NA,NA,NA,"AU",1101228272,"Animalia",1,NA,"2016-08-19T08:07:05.845+0000","2016-08-04T14:22:51.337+0000","2015-07-17T07:04:49.686+0000",-23.54077,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Landsborough Highway, 90.2 km SE of Longreach (by road) (23° 32' 27"" S, 145° 06' 58"" E) 16/10/2013 - 16/10/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpet"";",145.11611,NA,NA,10,NA,"3eeef531-2339-4f08-a426-58a64facf793",NA,NA,"Diprotodontia",1452,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus giganteus Shaw, 1790",NA,"Macropus giganteus",5219981,"giganteus",NA,NA,5219981,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Eastern Grey Kangaroo",2013,2016-08-25,41513,"Macropus giganteus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",135.838325272,204.644168613,TRUE
"9416",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.45986.001","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-15T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1180043",NA,NA,"Macropodidae",9372,"Australia","1101228261","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e8cdd3ea-7898-4f69-9431-1fd7dd6395aa",NA,NA,NA,"AM",NA,NA,NA,"AU",1101228261,"Animalia",1,NA,"2016-08-19T08:07:05.840+0000","2016-08-04T14:22:47.873+0000","2015-07-17T07:04:49.651+0000",-22.77454,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Landsborough Highway, approx. 100 km NW of Longreach (22° 46' 28"" S, 143° 39' 50"" E) 15/10/2013 - 15/10/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpetolo"";",143.664,NA,NA,10,NA,"e8cdd3ea-7898-4f69-9431-1fd7dd6395aa",NA,NA,"Diprotodontia",1452,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus giganteus Shaw, 1790",NA,"Macropus giganteus",5219981,"giganteus",NA,NA,5219981,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Eastern Grey Kangaroo",2013,2016-08-25,41513,"Macropus giganteus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",135.838325272,204.644168613,TRUE
"9420",NA,"Queensland",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.45990.001","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-16T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1180063",NA,NA,"Macropodidae",9372,"Australia","1101228270","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eb67856b-969d-4f10-84f7-9814fc480ac8",NA,NA,NA,"AM",NA,NA,NA,"AU",1101228270,"Animalia",1,NA,"2016-08-19T08:07:05.836+0000","2016-08-04T14:22:51.311+0000","2015-07-17T07:04:49.680+0000",-23.52913,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Landsborough Highway, 68.4 km E of Longreach (23° 31' 45"" S, 144° 54' 33"" E) 16/10/2013 - 16/10/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Colle"";",144.90911,NA,NA,10,NA,"eb67856b-969d-4f10-84f7-9814fc480ac8",NA,NA,"Diprotodontia",1452,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus giganteus Shaw, 1790",NA,"Macropus giganteus",5219981,"giganteus",NA,NA,5219981,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Eastern Grey Kangaroo",2013,2016-08-25,41513,"Macropus giganteus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",135.838325272,204.644168613,TRUE
"26207",NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"SEMMI0004203","Mammalia",359,"Australia",NA,NA,NA,NA,50,"Australia",NA,"0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-23T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,"Australia","1070397077","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bf9a38e5-3114-49d5-9f55-06bc2af35dcb",1,NA,NA,NA,NA,NA,NA,"AU",1070397077,"Animalia",1,NA,"2016-08-19T04:38:49.713+0000","2016-08-03T10:44:18.668+0000","2015-04-30T12:43:37.396+0000",-29.4896700254859,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.95133,NA,NA,2,NA,"bf9a38e5-3114-49d5-9f55-06bc2af35dcb","Tracks or scratchings",NA,"Diprotodontia",1452,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus giganteus Shaw, 1790",NA,"Macropus giganteus",5219981,"giganteus",NA,NA,5219981,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Eastern Grey Kangaroo",2009,2016-08-25,41513,"Macropus giganteus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",135.838325272,204.644168613,TRUE
"26555",NA,"New South Wales",NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.42667","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,NA,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-16T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1138249",NA,NA,"Macropodidae",9372,"Australia","1101223371","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8a3db95-ad7f-444c-be42-b0b11fb23037",NA,NA,NA,"AM",NA,NA,NA,"AU",1101223371,"Animalia",1,NA,"2016-08-19T08:07:05.016+0000","2016-08-04T14:23:40.890+0000","2015-07-17T07:04:25.227+0000",-33.6486,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, Windsor Downs Nature Reserve (33° 38' 55"" S, 150° 47' 45"" E) 16/12/2009 - 16/12/2009, Littlejohn, Katie - NPWS(Collector), Sanders, Jonathan - Department of Environment and Climate Change NSW(Presenter), Found on fireground, Ac"";",150.79583,NA,NA,12,NA,"c8a3db95-ad7f-444c-be42-b0b11fb23037",NA,NA,"Diprotodontia",1452,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Littlejohn, Katie - NPWS",NA,NA,NA,NA,"Macropus giganteus Shaw, 1790",NA,"Macropus giganteus",5219981,"giganteus",NA,NA,5219981,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Eastern Grey Kangaroo",2009,2016-08-25,41513,"Macropus giganteus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",135.838325272,204.644168613,TRUE
"27184",NA,"New South Wales","not applicable",NA,NA,"MATERIAL_SAMPLE",NA,"G35091","Mammalia",359,"OBERON, New South Wales, not applicable, Australia, OCEANIA","GeneticSamples",NA,"OCEANIA",0.01667,2000,"Australia",NA,"0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-03-15T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,"Australia","1257466409","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7f100486-3337-4c90-8c7e-75ce9f75d539",NA,NA,NA,"ANWC",NA,NA,NA,"AU",1257466409,"Animalia",1,NA,"2016-08-19T07:26:13.222+0000","2016-08-03T11:46:29.961+0000","2016-06-21T13:46:50.513+0000",-33.7,NA,NA,NA,NA,NA,"OBERON",NA,NA,NA,149.85,NA,NA,3,NA,"7f100486-3337-4c90-8c7e-75ce9f75d539",NA,NA,"Diprotodontia",1452,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,"Macropus giganteus Shaw, 1790",NA,"Macropus giganteus",5219981,"giganteus",NA,NA,5219981,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Eastern Grey Kangaroo",2006,2016-08-25,41513,"Macropus giganteus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",135.838325272,204.644168613,TRUE
"27324",NA,"New South Wales","not applicable",NA,NA,"PRESERVED_SPECIMEN",NA,"M29956","Mammalia",359,"KELMOT PARK, YASS RIVER CROSSING, E OF MURRUMBATEMAN, New South Wales, not applicable, Australia, OCEANIA","Mammals",NA,"OCEANIA",0.01667,2000,"Australia",NA,"0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-07-16T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,"Australia","332039930","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c87055f0-9e9d-47cb-ab5f-5a75b6f3565d",NA,NA,NA,"ANWC",NA,NA,NA,"AU",332039930,"Animalia",1,NA,"2016-08-19T07:26:26.124+0000","2016-08-03T11:46:31.600+0000","2015-04-30T07:14:43.533+0000",-35.0333,NA,NA,NA,NA,NA,"KELMOT PARK, YASS RIVER CROSSING, E OF MURRUMBATEMAN",NA,NA,"MURRUMBATEMAN/GUNDAROO ROAD",149.1333,NA,NA,7,NA,"c87055f0-9e9d-47cb-ab5f-5a75b6f3565d",NA,NA,"Diprotodontia",1452,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,"Macropus giganteus Shaw, 1790",NA,"Macropus giganteus",5219981,"giganteus",NA,NA,5219981,NA,"SPECIES",NA,NA,NA,NA,NA,NA,NA,"Eastern Grey Kangaroo",2006,2016-08-25,41513,"Macropus giganteus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",135.838325272,204.644168613,TRUE
