"","accessRights","adm1","adm2","associatedSequences","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetKey","datasetName","dateIdentified","day","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventTime","family","familyKey","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","higherClassification","higherGeography","http://unknown.org/occurrenceDetails","http://unknown.org/organismID","identificationID","identificationRemarks","identifiedBy","identifier","individualCount","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","locality","locationRemarks","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate"
"1",NA,NA,NA,NA,"HUMAN_OBSERVATION","2572261","Mammalia",359,"Australia","Observations",NA,NA,NA,10,"Australia","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-11T08:35:41.000+0000",11,NA,NA,NA,NA,NA,NA,"2016-01-11T19:34:10.000+0000",NA,"08:34:10Z","Macropodidae",9372,"Australia","1229612196","Macropus","Macropus",2440171,"WGS84",NA,NA,"http://www.inaturalist.org/observations/2572261",NA,"4786576",NA,NA,"2572261",NA,"iNaturalist",NA,"AU",1229612196,"Animalia",1,NA,"2016-08-19T05:03:29.366+0000","2016-08-19T05:18:21.399+0000","2016-08-19T05:03:38.521+0000",-36.73706,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,149.95801,"2016-03-04T08:19:50.000+0000",1,NA,"http://www.inaturalist.org/observations/2572261",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","t12",NA,"http://www.inaturalist.org/observations/2572261","© t12 some rights reserved","t12","Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,"42895",5219962,"SPECIES",NA,NA,"Mon Jan 11 2016 19:34:10 GMT+1100 (GMT+11)","343 Tathra Road, , NSW, AU",NA,2016,2016-08-25
"2",NA,NA,NA,NA,"HUMAN_OBSERVATION","SIXRI0094590","Mammalia",359,"Australia",NA,NA,NA,NA,100,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,14,NA,NA,NA,NA,NA,NA,"2014-01-14T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1070894672","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"2ec7c802-bf3f-4bef-a60b-790e62cecba4",5,NA,NA,"AU",1070894672,"Animalia",1,NA,"2016-08-19T04:41:51.797+0000","2016-08-03T10:45:42.087+0000","2015-04-30T13:03:14.965+0000",-30.0376000263818,NA,NA,NA,152.77231,NA,1,NA,"2ec7c802-bf3f-4bef-a60b-790e62cecba4","Seen",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",2014,2016-08-25
"3",NA,NA,NA,NA,"HUMAN_OBSERVATION","SIXRI0560904","Mammalia",359,"Australia",NA,NA,NA,NA,100,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,28,NA,NA,NA,NA,NA,NA,"2013-04-28T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1071332789","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"f9545a5e-3e22-42b0-8ee6-39f3e9fbbbee",5,NA,NA,"AU",1071332789,"Animalia",1,NA,"2016-08-19T04:43:39.045+0000","2016-08-03T10:43:35.861+0000","2015-04-30T13:37:48.912+0000",-29.1747600249675,NA,NA,NA,153.37758,NA,4,NA,"f9545a5e-3e22-42b0-8ee6-39f3e9fbbbee","Seen",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",2013,2016-08-25
"4",NA,NA,NA,NA,"HUMAN_OBSERVATION","SIXRI0560821","Mammalia",359,"Australia",NA,NA,NA,NA,100,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,26,NA,NA,NA,NA,NA,NA,"2013-04-26T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1071332708","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"e4166a76-f3a6-4e22-b70b-5d4b96791a04",1,NA,NA,"AU",1071332708,"Animalia",1,NA,"2016-08-19T04:43:39.033+0000","2016-08-03T10:43:34.938+0000","2015-04-30T13:37:48.807+0000",-29.1678700249561,NA,NA,NA,153.37932,NA,4,NA,"e4166a76-f3a6-4e22-b70b-5d4b96791a04","Seen",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",2013,2016-08-25
"5",NA,NA,NA,NA,"HUMAN_OBSERVATION","SIXRI0094577","Mammalia",359,"Australia",NA,NA,NA,NA,100,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,20,NA,NA,NA,NA,NA,NA,"2013-09-20T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1070894777","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"9c3d4022-d088-44a4-a9c1-3520c1cf31f3",1,NA,NA,"AU",1070894777,"Animalia",1,NA,"2016-08-19T04:41:51.785+0000","2016-08-03T10:45:13.964+0000","2015-04-30T13:03:15.186+0000",-29.8896800261408,NA,NA,NA,152.8477,NA,9,NA,"9c3d4022-d088-44a4-a9c1-3520c1cf31f3","Seen",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",2013,2016-08-25
"6",NA,NA,NA,NA,"HUMAN_OBSERVATION","SIXRI0561184","Mammalia",359,"Australia",NA,NA,NA,NA,100,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,10,NA,NA,NA,NA,NA,NA,"2013-10-10T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1071333080","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"24a7e3f1-1df2-4b24-84b5-e02e482a9b70",1,NA,NA,"AU",1071333080,"Animalia",1,NA,"2016-08-19T04:43:39.080+0000","2016-08-03T10:43:35.778+0000","2015-04-30T13:37:49.247+0000",-29.1747600249675,NA,NA,NA,153.37758,NA,10,NA,"24a7e3f1-1df2-4b24-84b5-e02e482a9b70","Seen",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",2013,2016-08-25
"7",NA,NA,NA,NA,"HUMAN_OBSERVATION","SIXRI0094554","Mammalia",359,"Australia",NA,NA,NA,NA,100,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,27,NA,NA,NA,NA,NA,NA,"2013-12-27T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1070894709","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"206657db-620f-4b70-80bb-b06db42bac65",10,NA,NA,"AU",1070894709,"Animalia",1,NA,"2016-08-19T04:41:51.785+0000","2016-08-03T10:44:28.035+0000","2015-04-30T13:03:15.041+0000",-29.5602400256017,NA,NA,NA,153.1497,NA,12,NA,"206657db-620f-4b70-80bb-b06db42bac65","Seen",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",2013,2016-08-25
"8",NA,NA,NA,NA,"HUMAN_OBSERVATION","SIXRI0514296","Mammalia",359,"Australia",NA,NA,NA,NA,10,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,24,NA,NA,NA,NA,NA,NA,"2012-03-24T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1071288924","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"8a244329-52c7-42af-8405-2432b96d301a",NA,NA,NA,"AU",1071288924,"Animalia",1,NA,"2016-08-19T04:43:31.145+0000","2016-08-03T10:44:16.544+0000","2015-04-30T13:37:18.094+0000",-29.4768500254648,NA,NA,NA,152.77245,NA,3,NA,"8a244329-52c7-42af-8405-2432b96d301a","Seen",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",2012,2016-08-25
"9",NA,NA,NA,NA,"HUMAN_OBSERVATION","SIXRI0514277","Mammalia",359,"Australia",NA,NA,NA,NA,10,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,24,NA,NA,NA,NA,NA,NA,"2012-03-24T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1071289480","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"fe9a2757-622b-4f37-bf38-37db7afd2a87",NA,NA,NA,"AU",1071289480,"Animalia",1,NA,"2016-08-19T04:43:31.143+0000","2016-08-03T10:44:16.648+0000","2015-04-30T13:37:18.465+0000",-29.4768500254648,NA,NA,NA,152.77245,NA,3,NA,"fe9a2757-622b-4f37-bf38-37db7afd2a87","Seen",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",2012,2016-08-25
"10",NA,NA,NA,NA,"HUMAN_OBSERVATION","SIXRI0514279","Mammalia",359,"Australia",NA,NA,NA,NA,10,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,24,NA,NA,NA,NA,NA,NA,"2012-03-24T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1071289533","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"5ea11098-8eb0-4d07-830e-f02b7f138bb6",NA,NA,NA,"AU",1071289533,"Animalia",1,NA,"2016-08-19T04:43:31.150+0000","2016-08-03T10:44:16.596+0000","2015-04-30T13:37:18.489+0000",-29.4768500254648,NA,NA,NA,152.77245,NA,3,NA,"5ea11098-8eb0-4d07-830e-f02b7f138bb6","Seen",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",2012,2016-08-25
