"","accessRights","adm1","adm2","associatedSequences","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetKey","datasetName","dateIdentified","day","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventTime","family","familyKey","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationRemarks","identifiedBy","identifier","individualCount","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","locality","locationRemarks","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"168",NA,NA,NA,NA,"PRESERVED_SPECIMEN","SEMMI0004444","Mammalia",359,"Australia",NA,NA,NA,NA,50,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,26,NA,NA,NA,NA,NA,NA,"2009-02-26T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1070397247","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"f11d6a5e-5c6a-4e6a-9d27-63681f29245e",1,NA,NA,"AU",1070397247,"Animalia",1,NA,"2016-08-19T04:38:49.816+0000","2016-08-03T10:44:21.921+0000","2015-04-30T12:43:37.510+0000",-29.5070400255144,NA,NA,NA,152.94769,NA,2,NA,"f11d6a5e-5c6a-4e6a-9d27-63681f29245e","Seen",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",2009,2016-08-25,40564,"Macropus parryi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",63.9140550766,32.3104443093,TRUE
"263",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN","JM12119","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.00045,50,"Australia","a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,26,NA,NA,NA,NA,NA,NA,"1997-08-26T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1066621006","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"ea6b0b38-560d-4a8c-81da-544b321fd6ce",NA,"QM",NA,"AU",1066621006,"Animalia",1,NA,"2015-10-19T05:51:14.687+0000","2016-08-04T10:56:36.621+0000","2015-04-30T09:48:34.996+0000",-24.30667,NA,"-",NA,150.80778,NA,8,NA,"ea6b0b38-560d-4a8c-81da-544b321fd6ce",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:10160\n95",NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail wallaby",1997,2016-08-25,40564,"Macropus parryi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",63.9140550766,32.3104443093,TRUE
"274",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN","JM11147","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.01667,1000,"Australia","a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,8,NA,NA,NA,NA,NA,NA,"1995-12-08T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1066620238","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"07368e77-b9c7-4da8-ac52-7fafb72a2b19",NA,"QM",NA,"AU",1066620238,"Animalia",1,NA,"2015-10-19T05:51:14.549+0000","2016-08-04T10:56:57.317+0000","2015-04-30T09:48:34.537+0000",-27.5818731882593,NA,"-",NA,152.2008046892,NA,12,NA,"07368e77-b9c7-4da8-ac52-7fafb72a2b19",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail wallaby",1995,2016-08-25,40564,"Macropus parryi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",63.9140550766,32.3104443093,TRUE
"280",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN","JM10565","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.01667,500,"Australia","a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,7,NA,NA,NA,NA,NA,NA,"1994-07-07T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1066619613","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"7a2469c2-93fb-45cf-a64c-1b286d9c69f5",NA,"QM",NA,"AU",1066619613,"Animalia",1,NA,"2015-10-19T05:51:14.432+0000","2016-08-04T10:56:46.380+0000","2015-04-30T09:48:34.194+0000",-26.72528,NA,"-",NA,150.94556,NA,7,NA,"7a2469c2-93fb-45cf-a64c-1b286d9c69f5",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail wallaby",1994,2016-08-25,40564,"Macropus parryi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",63.9140550766,32.3104443093,TRUE
"298",NA,"New South Wales",NA,NA,"PRESERVED_SPECIMEN","M.29850","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,0.001,NA,"Australia","dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,19,NA,NA,NA,NA,NA,NA,"1993-08-19T00:00:00.000+0000","urn:australianmuseum.net.au:Events:4001196",NA,"Macropodidae",9372,"Australia","1101209517","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,"Gibson, L","2fffeb69-59c3-45a3-86db-208991552d22",NA,"AM",NA,"AU",1101209517,"Animalia",1,NA,"2016-08-19T08:07:02.609+0000","2016-08-04T14:23:08.425+0000","2015-07-17T07:03:06.194+0000",-29.633,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, Ulmarra, 12 km NE of Grafton (29° 38' S, 153° 02' E) 19/08/1993 - 19/08/1993, Road kill, Field Collected - Terrestrial"";",153.033,NA,8,NA,"2fffeb69-59c3-45a3-86db-208991552d22",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Pacey, Jeff",NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",1993,2016-08-25,40564,"Macropus parryi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",63.9140550766,32.3104443093,TRUE
"308",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN","JM9411","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,NA,NA,"Australia","a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,26,NA,NA,NA,NA,NA,NA,"1992-07-26T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1066632130","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"1e05e26d-730a-4f63-a693-82d6a247e37d",NA,"QM",NA,"AU",1066632130,"Animalia",1,NA,"2015-10-19T05:51:17.081+0000","2016-08-04T10:57:01.706+0000","2015-04-30T09:48:43.765+0000",-28.2,NA,"-",NA,153.16667,NA,7,NA,"1e05e26d-730a-4f63-a693-82d6a247e37d",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail wallaby",1992,2016-08-25,40564,"Macropus parryi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",63.9140550766,32.3104443093,TRUE
"310",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN","JM10048","Mammalia",359,"-, Queensland, Australia","Mammals",NA,NA,0.01667,500,"Australia","a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,7,NA,NA,NA,NA,NA,NA,"1992-09-07T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1066619018","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"3f261f07-4547-4832-8751-55018727ccc2",NA,"QM",NA,"AU",1066619018,"Animalia",1,NA,"2015-10-19T05:51:14.313+0000","2016-08-04T10:56:44.008+0000","2015-04-30T09:48:33.696+0000",-26.11667,NA,"-",NA,151.96667,NA,9,NA,"3f261f07-4547-4832-8751-55018727ccc2",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail wallaby",1992,2016-08-25,40564,"Macropus parryi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",63.9140550766,32.3104443093,TRUE
"352",NA,"Queensland","not applicable",NA,"PRESERVED_SPECIMEN","M14000","Mammalia",359,"O'CONNELL RIVER, ON CATHU STATE FOREST ROAD, NW OF MACKAY, Queensland, not applicable, Australia, OCEANIA","Mammals",NA,"OCEANIA",0.00139,2000,"Australia","0debafd0-6c8a-11de-8225-b8a03c50a862",NA,NA,9,NA,NA,NA,NA,NA,NA,"1988-10-09T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","332041143","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"76056b00-8ca7-4b69-9ede-c5e542750853",NA,"ANWC",NA,"AU",332041143,"Animalia",1,NA,"2016-08-19T07:26:21.241+0000","2016-08-03T11:46:21.559+0000","2015-04-30T07:14:34.571+0000",-20.825,NA,"O'CONNELL RIVER, ON CATHU STATE FOREST ROAD, NW OF MACKAY",NA,148.6111,NA,10,NA,"76056b00-8ca7-4b69-9ede-c5e542750853",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","602f0aa0-1f3e-11da-9ae9-b8a03c50a862",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",1988,2016-08-25,40564,"Macropus parryi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",63.9140550766,32.3104443093,TRUE
"375",NA,"New South Wales",NA,NA,"PRESERVED_SPECIMEN","M.39763","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,1e+05,"Australia","dce8feb0-6c89-11de-8225-b8a03c50a862",NA,"2007-05-01T00:00:00.000+0000",14,NA,NA,NA,NA,NA,NA,"1981-02-14T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1109580",NA,"Macropodidae",9372,"Australia","1101219710","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,"Wheeler, Mr Robert - Department of Environment and Climate Change","a47aa6e3-19c1-4a18-81aa-f0062146b70c",NA,"AM",NA,"AU",1101219710,"Animalia",1,NA,"2016-08-19T08:07:04.363+0000","2016-08-04T14:23:06.453+0000","2015-07-17T07:04:03.243+0000",-29.33193,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Australia, New South Wales, Timbarra River, south of Drake (29° 19' 55"" S, 152° 15' 04"" E) 14/02/1981 - 14/02/1981, Benson, J(Collector), Wheeler, Mr Robert - Department of Environment and Climate Change(Presenter), Accession"";",152.25111,NA,2,NA,"a47aa6e3-19c1-4a18-81aa-f0062146b70c",NA,NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Benson, J",NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",1981,2016-08-25,40564,"Macropus parryi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",63.9140550766,32.3104443093,TRUE
"400",NA,NA,NA,NA,"PRESERVED_SPECIMEN","WD30860","Mammalia",359,"Australia",NA,NA,NA,NA,1000,"Australia","0645ccdb-e001-4ab0-9729-51f1755e007e",NA,NA,6,NA,NA,NA,NA,NA,NA,"1980-07-06T00:00:00.000+0000",NA,NA,"Macropodidae",9372,"Australia","1075005540","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,"13cea435-6de6-4925-bd97-2e64c9455d9c",1,NA,NA,"AU",1075005540,"Animalia",1,NA,"2016-08-19T04:53:59.783+0000","2016-08-03T10:43:49.170+0000","2015-04-30T14:48:53.651+0000",-29.2822500251447,NA,NA,NA,152.6356,NA,7,NA,"13cea435-6de6-4925-bd97-2e64c9455d9c","Road kill",NA,"Diprotodontia",1452,NA,NA,"Chordata",44,NA,"DWC_ARCHIVE","AU","25fe2ec4-4405-4b37-9386-8cc80e337abb",NA,NA,NA,NA,NA,"Macropus parryi Bennett, 1834",NA,"Macropus parryi",5219962,"parryi",NA,NA,5219962,"SPECIES",NA,NA,NA,NA,"Whiptail Wallaby",1980,2016-08-25,40564,"Macropus parryi",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",63.9140550766,32.3104443093,TRUE
