"","accessRights","adm1","adm2","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"13",NA,"South Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.46947.001","Mammalia",359,"South Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-09-16T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1206741",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101229693","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c51c1b94-e846-44a5-9c07-46968bd85e4b",NA,NA,"erubescens","AM",NA,NA,NA,"AU",1101229693,"Animalia",1,NA,"2016-08-19T08:07:06.082+0000","2016-08-04T14:23:22.997+0000","2016-03-12T00:31:42.736+0000",-31.68666,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, South Australia, Approximately 30km NE of Hawker, Flinders Ranges Way (31° 41' 12"" S, 138° 22' 17"" E) 16/09/2014 - 16/09/2014, Sadlier, Dr. Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Her"";",138.37138,NA,NA,9,NA,"c51c1b94-e846-44a5-9c07-46968bd85e4b",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ross Sadlier",NA,NA,NA,NA,"Macropus robustus subsp. erubescens Sclater, 1870",NA,"Macropus robustus",5219970,"robustus",NA,NA,5219973,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Common Wallaroo",NA,2014,2016-08-25,40565,"Macropus robustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",289.786089614,568.201927507,TRUE
"46",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45696.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,1000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-02-25T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176176",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101227701","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3229d925-f9f2-43c4-9b2f-5d3ba07ed972",NA,NA,"erubescens","AM",NA,NA,NA,"AU",1101227701,"Animalia",1,NA,"2016-08-19T08:07:05.755+0000","2016-08-04T14:23:03.302+0000","2015-07-17T07:04:46.770+0000",-28.7711,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Geraldton-Mt Magnet Rd, ~85 km W of Mullewa (28° 46' 16"" S, 114° 46' 48"" E) 25/02/2013 - 25/02/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum"";",114.77999,NA,NA,2,NA,"3229d925-f9f2-43c4-9b2f-5d3ba07ed972",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus robustus subsp. erubescens Sclater, 1870",NA,"Macropus robustus",5219970,"robustus",NA,NA,5219973,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Common Wallaroo",NA,2013,2016-08-25,40565,"Macropus robustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",289.786089614,568.201927507,TRUE
"47",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45697.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,1e+05,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-02-26T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176178",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101227703","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bb413654-4095-4299-a5a1-35b16c43b474",NA,NA,"erubescens","AM",NA,NA,NA,"AU",1101227703,"Animalia",1,NA,"2016-08-19T08:07:05.750+0000","2016-08-04T14:22:56.358+0000","2015-07-17T07:04:46.777+0000",-26.4211,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Shark Bay Road (26° 25' 16"" S, 114° 16' 26"" E) 26/02/2013 - 26/02/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Collector and"";",114.27388,NA,NA,2,NA,"bb413654-4095-4299-a5a1-35b16c43b474",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus robustus subsp. erubescens Sclater, 1870",NA,"Macropus robustus",5219970,"robustus",NA,NA,5219973,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Common Wallaroo",NA,2013,2016-08-25,40565,"Macropus robustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",289.786089614,568.201927507,TRUE
"126",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45698.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-02-28T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176179",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101227705","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f8407aee-be7f-4660-bd76-bf1e00ea8699",NA,NA,"erubescens","AM",NA,NA,NA,"AU",1101227705,"Animalia",1,NA,"2016-08-19T08:07:05.761+0000","2016-08-04T14:22:55.989+0000","2015-07-17T07:04:46.783+0000",-26.07416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Shark Bay, Eagle Bluff, dunes on foreshore (26° 04' 27"" S, 113° 34' 54"" E) 28/02/2013 - 28/02/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum"";",113.58166,NA,NA,2,NA,"f8407aee-be7f-4660-bd76-bf1e00ea8699",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus robustus subsp. erubescens Sclater, 1870",NA,"Macropus robustus",5219970,"robustus",NA,NA,5219973,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Common Wallaroo",NA,2013,2016-08-25,40565,"Macropus robustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",289.786089614,568.201927507,TRUE
"510",NA,"Western Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45701.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-03-03T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176186",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101227711","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14eb7f86-bb36-4259-bc75-1a77cbedcf82",NA,NA,"erubescens","AM",NA,NA,NA,"AU",1101227711,"Animalia",1,NA,"2016-08-19T08:07:05.756+0000","2016-08-04T14:22:59.875+0000","2015-07-17T07:04:46.808+0000",-27.74499,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Kalbarri, Port Gregory-Kalbarri Road, near Red Bluff Beach Road intersection (27° 44' 42"" S, 114° 08' 51"" E) 03/03/2013 - 03/03/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson,"";",114.14749,NA,NA,3,NA,"14eb7f86-bb36-4259-bc75-1a77cbedcf82",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus robustus subsp. erubescens Sclater, 1870",NA,"Macropus robustus",5219970,"robustus",NA,NA,5219973,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Common Wallaroo",NA,2013,2016-08-25,40565,"Macropus robustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",289.786089614,568.201927507,TRUE
"659",NA,"South Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45708.001","Mammalia",359,"South Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-03-10T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176196",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101227599","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f9720b8f-457d-43e2-be7d-84c90eef5e1e",NA,NA,"erubescens","AM",NA,NA,NA,"AU",1101227599,"Animalia",1,NA,"2016-08-19T08:07:05.762+0000","2016-08-04T14:23:32.351+0000","2015-07-17T07:04:46.549+0000",-32.91411,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, South Australia, Orroroo-Peterborough Road, 10 km NW of Peterborough (32° 54' 51"" S, 138° 45' 60"" E) 10/03/2013 - 10/03/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian"";",138.76661,NA,NA,3,NA,"f9720b8f-457d-43e2-be7d-84c90eef5e1e",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus robustus subsp. erubescens Sclater, 1870",NA,"Macropus robustus",5219970,"robustus",NA,NA,5219973,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Common Wallaroo",NA,2013,2016-08-25,40565,"Macropus robustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",289.786089614,568.201927507,TRUE
"888",NA,"South Australia",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45707.001","Mammalia",359,"South Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-03-10T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176195",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101227596","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98b3d514-d558-4107-83d4-0d4c4fa0c1aa",NA,NA,"erubescens","AM",NA,NA,NA,"AU",1101227596,"Animalia",1,NA,"2016-08-19T08:07:05.756+0000","2016-08-04T14:23:30.726+0000","2015-07-17T07:04:46.544+0000",-32.7021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, South Australia, Wilmington-Orroroo Road, 9 km W of Monchard (32° 42' 08"" S, 138° 23' 54"" E) 10/03/2013 - 10/03/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecilie A - Australian Museum -"";",138.39841,NA,NA,3,NA,"98b3d514-d558-4107-83d4-0d4c4fa0c1aa",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus robustus subsp. erubescens Sclater, 1870",NA,"Macropus robustus",5219970,"robustus",NA,NA,5219973,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Common Wallaroo",NA,2013,2016-08-25,40565,"Macropus robustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",289.786089614,568.201927507,TRUE
"2060",NA,"New South Wales",NA,NA,"PRESERVED_SPECIMEN",NA,"M.46149.001","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,10000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-06-23T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1182893",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101228366","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a95d885f-42fb-4707-81d9-1b4394765bb6",NA,NA,NA,"AM",NA,NA,NA,"AU",1101228366,"Animalia",1,NA,"2016-08-19T08:07:05.862+0000","2016-08-04T14:23:30.187+0000","2015-07-17T07:04:50.240+0000",-32.6817,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, Apple Tree Flat, SE of Mudgee on Castlereagh Highway (32° 40' 54"" S, 149° 42' 05"" E) 23/06/2013 - 23/06/2013, Campbell, Gordon A(Collector and presenter), Road kill, Accession""; ecatalogue.SqsCityTown: ""Apple Tree Flat"";",149.70137,NA,NA,6,NA,"a95d885f-42fb-4707-81d9-1b4394765bb6",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Campbell, Gordon A",NA,NA,NA,NA,"Macropus robustus Gould, 1840",NA,"Macropus robustus",5219970,"robustus",NA,NA,5219970,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Common Wallaroo",NA,2013,2016-08-25,40565,"Macropus robustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",289.786089614,568.201927507,TRUE
"2096",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45994.002","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-16T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1180069",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101228147","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91e21595-3f1c-42df-b052-c22e4a3027ab",NA,NA,NA,"AM",NA,NA,NA,"AU",1101228147,"Animalia",1,NA,"2016-08-19T08:07:05.840+0000","2016-08-04T14:22:52.970+0000","2015-07-17T07:04:49.397+0000",-24.21047,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Landsborough Highway, 77.6 km S of Barcaldine (24° 12' 38"" S, 145° 20' 43"" E) 16/10/2013 - 16/10/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Coll"";",145.34521,NA,NA,10,NA,"91e21595-3f1c-42df-b052-c22e4a3027ab",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus robustus Gould, 1840",NA,"Macropus robustus",5219970,"robustus",NA,NA,5219970,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Common Wallaroo",NA,2013,2016-08-25,40565,"Macropus robustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",289.786089614,568.201927507,TRUE
"2098",NA,"Queensland",NA,NA,"PRESERVED_SPECIMEN",NA,"M.45987.001","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-15T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1180044",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101228263","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"995ee744-5847-4a63-aac6-f39468bcd58b",NA,NA,NA,"AM",NA,NA,NA,"AU",1101228263,"Animalia",1,NA,"2016-08-19T08:07:05.840+0000","2016-08-04T14:22:48.863+0000","2015-07-17T07:04:49.657+0000",-23.19349,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Landsborough Highway, 37.7 km NW of Longreach (23° 11' 37"" S, 144° 03' 39"" E) 15/10/2013 - 15/10/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Coll"";",144.06091,NA,NA,10,NA,"995ee744-5847-4a63-aac6-f39468bcd58b",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus robustus Gould, 1840",NA,"Macropus robustus",5219970,"robustus",NA,NA,5219970,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Common Wallaroo",NA,2013,2016-08-25,40565,"Macropus robustus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",289.786089614,568.201927507,TRUE
