"","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"8",NA,"South Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.46948.001","Mammalia",359,"South Australia, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-09-16T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1206744",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101229696","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9af8b5ef-b0d4-4e7b-a4da-d9fbbfb96ff1",NA,NA,"AM",NA,NA,NA,"AU",1101229696,"Animalia",1,NA,"2016-08-19T08:07:06.082+0000","2016-08-04T14:23:24.035+0000","2016-03-12T00:31:42.745+0000",-31.83916,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, South Australia, 8km NE of Hawker, Flinders Ranges Way (31° 50' 21"" S, 138° 28' 07"" E) 16/09/2014 - 16/09/2014, Sadlier, Dr. Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Collec"";",138.4686,NA,NA,9,NA,"9af8b5ef-b0d4-4e7b-a4da-d9fbbfb96ff1",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ross Sadlier",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Red Kangaroo",NA,2014,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"11",NA,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.45695.001","Mammalia",359,"Western Australia, Australia","Mammalogy",NA,NA,1e-05,1000,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-02-25T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1176173",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101227699","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c768d9b8-63f8-4cbb-a6c4-a4b77c13c87c",NA,NA,"AM",NA,NA,NA,"AU",1101227699,"Animalia",1,NA,"2016-08-19T08:07:05.752+0000","2016-08-04T14:23:00.658+0000","2015-07-17T07:04:46.764+0000",-28.1761,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Western Australia, Geraldton-Mt Magnet Rd, near Ballan Rock, ~50 km W of Mount Magnet (28° 10' 34"" S, 117° 25' 30"" E) 25/02/2013 - 25/02/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector and presenter), Beatson, Ms Cecili"";",117.42499,NA,NA,2,NA,"c768d9b8-63f8-4cbb-a6c4-a4b77c13c87c",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Red Kangaroo",NA,2013,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"14",NA,"Queensland",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.45981.001","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-15T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1180039",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101228251","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"382c56de-2e60-482f-9829-ee06200fbd1b",NA,NA,"AM",NA,NA,NA,"AU",1101228251,"Animalia",1,NA,"2016-08-19T08:07:05.839+0000","2016-08-04T14:22:44.970+0000","2015-07-17T07:04:49.623+0000",-21.30508,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Landsborough Highway, 8.0 km SE of McKinlay (21° 18' 18"" S, 141° 22' 17"" E) 15/10/2013 - 15/10/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpetology(Collec"";",141.37132,NA,NA,10,NA,"382c56de-2e60-482f-9829-ee06200fbd1b",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Red Kangaroo",NA,2013,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"15",NA,"Queensland",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.45992.001","Mammalia",359,"Queensland, Australia","Mammalogy",NA,NA,1e-05,100,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-16T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1180065",NA,NA,"Macropodidae",9372,NA,NA,"Australia","1101228274","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9e238a20-826f-4c04-a852-8c6c1ced302b",NA,NA,"AM",NA,NA,NA,"AU",1101228274,"Animalia",1,NA,"2016-08-19T08:07:05.851+0000","2016-08-04T14:22:51.289+0000","2015-07-17T07:04:49.693+0000",-23.54077,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Landsborough Highway, 90.2 km SE of Longreach (by road) (23° 32' 27"" S, 145° 06' 58"" E) 16/10/2013 - 16/10/2013, Sadlier, Dr Ross Allen - Australian Museum - Herpetology(Collector), Beatson, Ms Cecilie A - Australian Museum - Herpet"";",145.11611,NA,NA,10,NA,"9e238a20-826f-4c04-a852-8c6c1ced302b",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Sadlier, Dr Ross Allen - Australian Museum - Herpetology",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Red Kangaroo",NA,2013,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"184",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M25561","Mammalia",359,"Australia","Mammalogy",NA,NA,1e-05,NA,"Australia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-10-07T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Australia","691345000","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stemmer, David - South Australian Museum",NA,NA,NA,"SAMA",NA,NA,NA,"AU",691345000,"Animalia",1,NA,"2013-09-07T07:16:41.000+0000","2016-08-04T15:41:42.131+0000",NA,-30.17221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.57193,NA,NA,10,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Stemmer, David - South Australian Museum",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"249",NA,"New South Wales",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.43210.001","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,10,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,"2010-09-01T00:00:00.000+0000",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-09-30T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1140670",NA,"16:11","Macropodidae",9372,NA,NA,"Australia","1101224025","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ingleby, Dr. Sandy - Australian Museum - Mammalogy","ef62ae7e-cd4b-43bf-9340-c0aa02622466",NA,NA,"AM",NA,NA,NA,"AU",1101224025,"Animalia",1,NA,"2016-08-19T08:07:05.115+0000","2016-08-04T14:23:19.428+0000","2016-06-21T15:37:46.229+0000",-31.47841,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, Unpaved Road, 12.59 km S from junction of Unpaved Road and Bourke Wilcannia Road... (31° 28' 42"" S, 144° 04' 47"" E) 30/09/2010 - 30/09/2010, Ingleby, Dr. Sandy - Australian Museum - Mammalogy(Collector), Eldridge, Dr. Mark D. B"";",144.07977,NA,NA,9,NA,"ef62ae7e-cd4b-43bf-9340-c0aa02622466",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ingleby, Dr Sandy - Australian Museum - Mammalogy",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Red Kangaroo",NA,2010,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"257",NA,"New South Wales",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M.42830","Mammalia",359,"New South Wales, Australia","Mammalogy",NA,NA,1e-05,10,"Australia",NA,"dce8feb0-6c89-11de-8225-b8a03c50a862",NA,"2010-09-01T00:00:00.000+0000",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-09-30T00:00:00.000+0000","urn:australianmuseum.net.au:Events:1140665",NA,"14:52","Macropodidae",9372,NA,NA,"Australia","1101223517","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ingleby, Dr Sandy - Australian Museum - Mammalogy","5e73eeea-841f-4d87-8f99-9bc3cb737293",NA,NA,"AM",NA,NA,NA,"AU",1101223517,"Animalia",1,NA,"2016-08-19T08:07:05.052+0000","2016-08-04T14:23:21.964+0000","2015-07-17T07:04:25.978+0000",-31.55805,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ecatalogue.LocCollectionEventLocal: ""Australia, New South Wales, Barrier Highway, 17.4 km E from Emmdale (31° 33' 29"" S, 144° 24' 49"" E) 30/09/2010 - 30/09/2010, Ingleby, Dr Sandy - Australian Museum - Mammalogy(Collector), Eldridge, Dr Mark D. B. - Australian Museum(Collector), Divljan, Dr"";",144.4135,NA,NA,9,NA,"5e73eeea-841f-4d87-8f99-9bc3cb737293",NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","770c30d2-c2a8-4bb2-8056-6167297cddae","Ingleby, Dr Sandy - Australian Museum - Mammalogy",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Red Kangaroo",NA,2010,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"284",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M24774","Mammalia",359,"Australia","Mammalogy",NA,NA,1e-05,NA,"Australia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-10-27T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Australia","691342908","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stemmer, David - South Australian Museum",NA,NA,NA,"SAMA",NA,NA,NA,"AU",691342908,"Animalia",1,NA,"2013-09-07T07:16:41.000+0000","2016-08-04T15:41:42.324+0000",NA,-30.73249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.62249,NA,NA,10,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Taylor, Dr Gary - Adelaide University",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"333",NA,NA,NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M24826","Mammalia",359,"Australia","Mammalogy",NA,NA,1e-05,NA,"Australia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-11-04T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Australia","691343089","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kemper C., Stemmer D.",NA,NA,NA,"SAMA",NA,NA,NA,"AU",691343089,"Animalia",1,NA,"2013-09-07T07:16:41.000+0000","2016-08-04T15:41:42.344+0000",NA,-29.90333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.65333,NA,NA,11,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Kemper, Dr Catherine - South Australian Museum",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
"484",NA,"Sa",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"M24373","Mammalia",359,"The John Crossing, Sa, Australia","Mammalogy",NA,NA,1e-05,NA,"Australia",NA,"fa375330-6c8a-11de-8226-b8a03c50a862",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-05-05T00:00:00.000+0000",NA,NA,NA,"Macropodidae",9372,NA,NA,"Australia","500882102","Macropus","Macropus",2440171,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stemmer",NA,NA,NA,"SAMA",NA,NA,NA,"AU",500882102,"Animalia",1,NA,"2013-09-07T07:22:26.000+0000","2016-08-04T15:41:08.416+0000",NA,-30.70527,NA,NA,NA,NA,NA,NA,"The John Crossing",NA,NA,NA,139.06111,NA,NA,5,NA,NA,NA,NA,"Diprotodontia",1452,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","AU","4d0539cd-a2e0-4a2c-8b7d-ec6718eef764","Haby N.",NA,NA,NA,NA,"Macropus rufus (Desmarest, 1822)",NA,"Macropus rufus",5219963,"rufus",NA,NA,5219963,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2016-08-25,40567,"Macropus rufus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","DIPROTODONTIA","MACROPODIDAE","LC",133.635537814,482.582920356,TRUE
