"","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http://unknown.org/occurrenceDetails","http://unknown.org/organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate"
"1",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"3038375","Mammalia",359,"United States","Observations",NA,NA,29079,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-04-26T20:40:15.000+0000",29,NA,NA,NA,NA,NA,NA,NA,NA,"2016-03-29T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1265602673","Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/3038375",NA,"5902114",NA,NA,NA,NA,"3038375",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,NA,NA,"US",1265602673,"Animalia",1,NA,"2016-08-10T00:31:14.026+0000","2016-08-10T00:48:45.341+0000","2016-08-10T00:31:14.040+0000",32.4119,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-110.94734,"2016-04-27T03:46:45.000+0000",3,NA,NA,"http://www.inaturalist.org/observations/3038375",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Alan",NA,"http://www.inaturalist.org/observations/3038375",NA,"© Alan some rights reserved","Alan",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,"41879",5219394,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-03-29","Arizona, US",NA,NA,NA,2016,2016-08-10
"2",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2440978","Mammalia",359,"Mexico","Observations",NA,NA,4,"Mexico",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-12-01T02:09:38.000+0000",14,NA,NA,NA,NA,NA,NA,NA,NA,"2015-08-14T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"Mexico","1227737861","Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/2440978",NA,"4493381",NA,NA,NA,NA,"2440978",NA,NA,NA,"iNaturalist",NA,NA,NA,"MX",1227737861,"Animalia",1,NA,"2016-08-10T00:28:09.647+0000","2016-08-10T00:39:48.144+0000","2016-08-10T00:28:09.799+0000",19.19122,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-100.47152,"2015-12-01T03:31:13.000+0000",8,NA,NA,"http://conabio.inaturalist.org/observations/2440978",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","León Felipe González Coronado",NA,"http://www.inaturalist.org/observations/2440978",NA,"© León Felipe González Coronado some rights reserved","León Felipe González Coronado",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,"41879",5219394,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-08-14",NA,NA,NA,NA,2015,2016-08-10
"3",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2313022","Mammalia",359,"United States","Observations",NA,NA,10000,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-10-26T18:44:13.000+0000",20,NA,NA,NA,NA,NA,NA,NA,NA,"2015-10-20T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1211979433","Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2313022",NA,"4226887",NA,NA,NA,NA,"2313022",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,NA,NA,"US",1211979433,"Animalia",1,NA,"2016-08-10T00:27:29.400+0000","2016-08-10T00:37:51.546+0000","2016-08-10T00:27:29.428+0000",32.47692,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-110.94708,"2015-12-26T14:20:37.000+0000",10,NA,NA,"http://www.inaturalist.org/observations/2313022","2nd of two juveniles (I think).  Mostly black except for stripe on lower side.",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Alan",NA,"http://www.inaturalist.org/observations/2313022",NA,"© Alan some rights reserved","Alan",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,"41879",5219394,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-10-20","Arizona, US",NA,NA,NA,2015,2016-08-10
"4",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2313013","Mammalia",359,"United States","Observations",NA,NA,10000,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-10-26T18:42:26.000+0000",24,NA,NA,NA,NA,NA,NA,NA,NA,"2015-10-24T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1211979347","Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2313013",NA,"4226873",NA,NA,NA,NA,"2313013",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,NA,NA,"US",1211979347,"Animalia",1,NA,"2016-08-10T00:27:29.414+0000","2016-08-10T00:37:51.488+0000","2016-08-10T00:27:29.487+0000",32.55289,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-110.84112,"2015-12-26T14:21:29.000+0000",10,NA,NA,"http://www.inaturalist.org/observations/2313013",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Alan",NA,"http://www.inaturalist.org/observations/2313013",NA,"© Alan some rights reserved","Alan",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,"41879",5219394,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-10-24","Arizona, US",NA,NA,NA,2015,2016-08-10
"5",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2483369","Mammalia",359,"United States","Observations",NA,NA,10000,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-12-16T21:06:37.000+0000",19,NA,NA,NA,NA,NA,NA,NA,NA,"2015-11-19T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1227754039","Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2483369",NA,"4597748",NA,NA,NA,NA,"2483369",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,NA,NA,"US",1227754039,"Animalia",1,NA,"2016-08-10T00:28:26.882+0000","2016-08-10T00:40:39.327+0000","2016-08-10T00:28:26.910+0000",32.59973,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-110.93566,"2015-12-26T13:56:58.000+0000",11,NA,NA,"http://www.inaturalist.org/observations/2483369","Positive skunk ID via a trail cam shot is proving difficult.  I am calling this a Hooded Skunk instead of a Hog-nosed due to the tail longer than the body and faint white vertical stripe on the forehead.",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Alan",NA,"http://www.inaturalist.org/observations/2483369",NA,"© Alan some rights reserved","Alan",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,"41879",5219394,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-11-19","Arizona, US",NA,NA,NA,2015,2016-08-10
"6",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2483377","Mammalia",359,"United States","Observations",NA,NA,10000,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-12-16T21:10:54.000+0000",16,NA,NA,NA,NA,NA,NA,NA,NA,"2015-11-16T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1227753919","Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2483377",NA,"4597761",NA,NA,NA,NA,"2483377",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,NA,NA,"US",1227753919,"Animalia",1,NA,"2016-08-10T00:28:26.890+0000","2016-08-10T00:40:39.673+0000","2016-08-10T00:28:27.041+0000",32.4972,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-110.88304,"2015-12-26T13:57:02.000+0000",11,NA,NA,"http://www.inaturalist.org/observations/2483377",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Alan",NA,"http://www.inaturalist.org/observations/2483377",NA,"© Alan some rights reserved","Alan",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,"41879",5219394,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-11-16","Arizona, US",NA,NA,NA,2015,2016-08-10
"7",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2483370","Mammalia",359,"United States","Observations",NA,NA,10000,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-12-16T21:08:53.000+0000",19,NA,NA,NA,NA,NA,NA,NA,NA,"2015-11-19T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1227753982","Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2483370",NA,"4597751",NA,NA,NA,NA,"2483370",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,NA,NA,"US",1227753982,"Animalia",1,NA,"2016-08-10T00:28:26.955+0000","2016-08-10T00:40:39.646+0000","2016-08-10T00:28:27.033+0000",32.54099,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-110.96962,"2015-12-26T13:56:42.000+0000",11,NA,NA,"http://www.inaturalist.org/observations/2483370","Another hooded skunk from the same night as previous observation.  We suspect this is a juvenile due to size difference.",NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Alan",NA,"http://www.inaturalist.org/observations/2483370",NA,"© Alan some rights reserved","Alan",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,"41879",5219394,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-11-19","Arizona, US",NA,NA,NA,2015,2016-08-10
"8",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2581205","Mammalia",359,"United States","Observations",NA,NA,10000,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-14T18:28:15.000+0000",31,NA,NA,NA,NA,NA,NA,NA,NA,"2015-12-31T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1249277136","Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2581205",NA,"4809633",NA,NA,NA,NA,"2581205",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,NA,NA,"US",1249277136,"Animalia",1,NA,"2016-08-10T00:28:52.001+0000","2016-08-10T00:41:55.009+0000","2016-08-10T00:28:52.047+0000",32.59575,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-110.90071,"2016-02-16T17:27:43.000+0000",12,NA,NA,"http://www.inaturalist.org/observations/2581205",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Alan",NA,"http://www.inaturalist.org/observations/2581205",NA,"© Alan some rights reserved","Alan",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,"41879",5219394,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-12-31","Arizona, US",NA,NA,NA,2015,2016-08-10
"9",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"1045185","Mammalia",359,"United States","Observations",NA,NA,NA,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2014-10-29T20:34:11.000+0000",27,NA,NA,NA,NA,NA,NA,NA,NA,"2014-09-27T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1038342683","Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1045185",NA,"1858749",NA,NA,NA,NA,"1045185",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1038342683,"Animalia",1,NA,"2016-08-10T00:23:11.079+0000","2016-08-10T00:23:31.221+0000","2016-08-10T00:23:11.303+0000",32.26062,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-111.18879,"2015-10-29T17:18:36.000+0000",9,NA,NA,"http://www.inaturalist.org/observations/1045185",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","saguwildcams",NA,"http://www.inaturalist.org/observations/1045185",NA,"© saguwildcams some rights reserved","saguwildcams",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,"41879",5219394,"SPECIES",NA,NA,NA,NA,NA,NA,"2014-09-27","32.26062 -111.18879",NA,NA,NA,2014,2016-08-10
"10",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"1925751","Mammalia",359,"United States","Observations",NA,NA,NA,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-09-08T17:08:10.000+0000",1,NA,NA,NA,NA,NA,NA,NA,NA,"2014-10-01T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1143535179","Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1925751",NA,"3667591",NA,NA,NA,NA,"1925751",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1143535179,"Animalia",1,NA,"2016-08-10T00:26:32.797+0000","2016-08-10T00:35:07.408+0000","2016-08-10T00:26:32.818+0000",34.86724,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,-111.80543,"2016-05-04T22:21:19.000+0000",10,NA,NA,"http://www.inaturalist.org/observations/1925751",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","j_t_searing",NA,"http://www.inaturalist.org/observations/1925751",NA,"© j_t_searing some rights reserved","j_t_searing",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,"41879",5219394,"SPECIES",NA,NA,NA,NA,NA,NA,"2014-10-01","Yavapai County, US-AZ, US",NA,NA,NA,2014,2016-08-10
