"","X","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationRemarks","lon","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"12",12,"http://www.vertnet.org/resources/norms.html","Nayarit",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"36793","Mammalia",359,"3 km S, 6 km W Mesa del Nayar (road kill), Nayarit, Mexico, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"Mexico",NA,"847e2306-f762-11e1-a439-00145eb45e9a","LSUMZ - Mammalogy",NA,15,NA,NA,NA,NA,NA,NA,15,"NATIVE","2011-01-15T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"Mexico",859571281,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,"requires verification",NA,"Animalia | Chordata | Mammalia | Carnivora | Mustelidae | Mephitis","North America | Mexico | Nayarit |  |  |  |  |",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:LSUMZ:Mammals:36793",NA,NA,NA,"LSUMZ","http://grbio.org/cool/ew6z-dwdm",NA,NA,"MX",859571281,"Animalia",1,"en","2015-03-10T08:52:47.278+0000","2016-08-04T07:23:39.412+0000","2015-03-10T08:52:47.288+0000",22.18,NA,NA,"3 km S, 6 km W Mesa del Nayar (road kill)",NA,NA,-104.712,NA,1,NA,"ICZN","urn:catalog:LSUMZ:Mammals:36793",NA,"present","Carnivora",732,NA,"CNMA 45744",NA,"Chordata",44,"Tissue-1",NA,"DWC_ARCHIVE","US","c361e830-181e-11da-9544-b8a03c50a862","Hafner, Mark S.",NA,"http://portal.vertnet.org/o/lsumz/mammals?id=36793",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Mephitis macroura Lichtenstein, 1832",NA,"FEMALE","Mephitis macroura",5219394,"macroura",15,NA,5219394,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,"North America | Mexico | Nayarit",NA,NA,NA,2011,"2016-08-10",41634,"Mephitis macroura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",107.338512855,159.648067131,TRUE
"16",17,NA,"Morelos","Tlaquiltenango",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"14682","Mammalia",359,"Quilamula, Morelos, Tlaquiltenango, Mexico, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"Mexico",NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,9,NA,NA,NA,NA,326.44,NA,NA,NA,"2007-01-09T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"Mexico",1061289628,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,NA,NA,"MX",1061289628,"Animalia",1,NA,"2016-06-28T07:24:31.083+0000","2016-08-04T15:40:25.358+0000","2015-03-03T13:48:29.584+0000",18.5102,NA,NA,"Quilamula",NA,NA,-99.02351,NA,1,NA,NA,"d02b86f8-a60f-4fb1-a4ee-621caa585e14",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"liver;heart, kidney;skin, skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Ferguson, Adam W",NA,NA,NA,NA,NA,NA,"Mephitis macroura Lichtenstein, 1832",NA,"MALE","Mephitis macroura",5219394,"macroura",NA,NA,5219394,"SPECIES",NA,NA,NA,NA,NA,"1071 m","09 January 2007","Quilamula, 18.51020°N, 99.02351°W, 1071m elev.",NA,"Hooded Skunk",NA,2007,"2016-08-10",41634,"Mephitis macroura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",107.338512855,159.648067131,TRUE
"22",23,"http://www.vertnet.org/resources/norms.html","Arizona","Santa Cruz County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"221897","Mammalia",359,"No specific locality recorded, Arizona, Santa Cruz County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2005-03-16T00:00:00.000+0000",16,NA,NA,NA,"sex=female ; total length=705 mm; tail length=374 mm; hind foot with claw=67 mm; ear from notch=35 mm; weight=1300 g",NA,NA,75,NA,"2005-03-16T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1145254904,"Mephitis","Mephitis",5219379,"WGS84","Jerry W. Dragoo","2005-03-16 00:00:00.0","BioGeoMancer",NA,"Field catalogue","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;","North America, United States, Arizona, Santa Cruz County",NA,NA,NA,"A",NA,"expert","Jerry W. Dragoo","http://arctos.database.museum/guid/MSB:Mamm:221897?seid=1334937",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145254904,"Animalia",1,"en","2016-07-28T04:55:51.140+0000","2016-08-04T12:18:26.648+0000","2016-06-24T04:33:43.679+0000",31.7301,NA,NA,"No specific locality recorded","Jerry W. Dragoo",NA,-111.7301,NA,3,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:221897?seid=1334937","Check lat long data",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:221897","original identifier=CH 1473; preparator number=JWD 578",NA,"Chordata",44,"skull; muscle","<i>Mephitis macroura</i> (accepted ID) identified by Jerry W. Dragoo on 2005-03-16; method: expert","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Denny Constintine; Preparator(s): Jerry W. Dragoo",NA,"http://arctos.database.museum/guid/MSB:Mamm:221897",NA,"http://arctosdb.org/home/data/",NA,NA,"Mephitis macroura Lichtenstein, 1832",NA,"FEMALE","Mephitis macroura",5219394,"macroura",NA,NA,5219394,"SPECIES",NA,"PhysicalObject",NA,NA,"degrees dec. minutes",NA,"16 March 2005","No specific locality recorded",NA,NA,NA,2005,"2016-08-10",41634,"Mephitis macroura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",107.338512855,159.648067131,TRUE
"26",27,NA,"Puebla","YEHUALTEPEC",NA,NA,"LITERATURE",NA,NA,"NA / 755 / BK022","Mammalia",359,"1.4 km E San Miguel Zozutla, Puebla, YEHUALTEPEC, Mexico",NA,NA,NA,NA,"Mexico",NA,"7fd54c8a-f762-11e1-a439-00145eb45e9a",NA,"2004-10-09T00:00:00.000+0000",9,NA,NA,NA,NA,2100,NA,NA,NA,"2004-10-09T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"Mexico",370742261,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. Ramírez P.",NA,NA,NA,"macroura","UAMI",NA,NA,NA,"MX",370742261,"Animalia",1,NA,"2016-01-28T17:58:34.735+0000","2016-08-04T03:35:35.934+0000","2014-10-09T07:45:27.118+0000",18.761,NA,NA,"1.4 km E San Miguel Zozutla",NA,NA,-97.64,NA,10,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","J. Patiño R.",NA,NA,NA,NA,NA,NA,"Mephitis macroura subsp. macroura",NA,NA,"Mephitis macroura",5219394,"macroura",NA,NA,7193897,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,"2016-08-10",41634,"Mephitis macroura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",107.338512855,159.648067131,TRUE
"28",29,NA,"Puebla","ATEXCAL",NA,NA,"LITERATURE",NA,NA,"NA / 754 / BK022","Mammalia",359,"Santiago Nopala, Puebla, ATEXCAL, Mexico",NA,NA,NA,NA,"Mexico",NA,"7fd54c8a-f762-11e1-a439-00145eb45e9a",NA,"2004-10-11T00:00:00.000+0000",11,NA,NA,NA,NA,2276,NA,NA,NA,"2004-10-11T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"Mexico",370742237,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. Ramírez P.",NA,NA,NA,"macroura","UAMI",NA,NA,NA,"MX",370742237,"Animalia",1,NA,"2016-01-28T17:58:34.734+0000","2016-08-04T03:35:35.852+0000","2014-10-09T07:45:27.116+0000",18.454,NA,NA,"Santiago Nopala",NA,NA,-97.642,NA,10,NA,NA,NA,NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,NA,NA,"DIGIR","MX","ff90b050-c256-11db-b71b-b8a03c50a862","J. Patiño R.",NA,NA,NA,NA,NA,NA,"Mephitis macroura subsp. macroura",NA,NA,"Mephitis macroura",5219394,"macroura",NA,NA,7193897,"SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,"2016-08-10",41634,"Mephitis macroura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",107.338512855,159.648067131,TRUE
"29",30,"http://www.vertnet.org/resources/norms.html","Arizona","Cochise County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"144500","Mammalia",359,"Fort Huachuca, Arizona, Cochise County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",3737,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2002-02-23T00:00:00.000+0000",23,NA,NA,NA,"sex=female",NA,NA,54,NA,"2002-02-23T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1145170931,"Mephitis","Mephitis",5219379,"WGS84","Jason L. Malaney","2010-02-08 00:00:00.0","BioGeoMancer",NA,"Beogeomancer","unverified",NA,"Animalia Chordata Mammalia Carnivora Mephitidae","North America, United States, Arizona, Cochise County",NA,NA,NA,"A","verified mtDNA","expert","Jerry W. Dragoo","http://arctos.database.museum/guid/MSB:Mamm:144500?seid=30691",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145170931,"Animalia",1,"en","2016-07-28T04:55:31.120+0000","2016-08-04T12:18:26.466+0000","2016-06-24T04:32:59.328+0000",31.5528,NA,NA,"Fort Huachuca","Jason L. Malaney",NA,-110.34734,NA,2,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:144500?seid=30691","Uncleaned and zygomatic arches missing/broken, some skin remaining; Positive ID as rabid  UTM coords: 561766E, 3487702N",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:144500","preparator number=HD 5536",NA,"Chordata",44,"skull (ethanol)","<i>Mephitis macroura</i> (accepted ID) identified by Jerry W. Dragoo on 2002-02-23; method: expert Remark: verified mtDNA<br><i>Mephitis macroura</i> identified by Jerry W. Dragoo, Christine C. Hass <i>sensu</i> <a href=""http://arctos.database.museum/publication/1000054"">Hass and Dragoo 2006</a>; method: type specimen Remark: ID from citation in Hass and Dragoo 2006.","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Christine C. Hass; Preparator(s): Christine C. Hass",NA,"http://arctos.database.museum/guid/MSB:Mamm:144500",NA,"http://arctosdb.org/home/data/",NA,NA,"Mephitis macroura Lichtenstein, 1832",NA,"FEMALE","Mephitis macroura",5219394,"macroura",NA,NA,5219394,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"23 Feb 2002","Fort Huachuca",NA,NA,NA,2002,"2016-08-10",41634,"Mephitis macroura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",107.338512855,159.648067131,TRUE
"33",34,"http://vertnet.org/resources/norms.html","New Mexico","Catron",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"UAZ 26765","Mammalia",359,"Gila Cliff Dweller's Nat'l. Monument, UTM: (WGS84) x 757149, y 3679508, New Mexico, Catron, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"United States",NA,"96275bf2-8999-4869-95d5-4903a84391b0",NA,NA,28,NA,NA,NA,NA,NA,NA,240,"NATIVE","2002-08-28T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1262417915,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,NA,NA,NA,"requires verification",NA,"|  |  | Carnivora | Caniformia |  |  | Mephitidae |  |  | Mephitis","| United States of America  | New Mexico | Catron |  |  |  |",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UAZ:Mammals:UAZ 26765",NA,NA,NA,"UAZ","http://biocol.org/urn:lsid:biocol.org:col:34852",NA,NA,"US",1262417915,"Animalia",1,"en","2016-03-29T18:16:50.937+0000","2016-08-04T10:11:17.527+0000","2016-03-29T18:16:51.010+0000",33.22722,NA,NA,"Gila Cliff Dweller's Nat'l. Monument, UTM: (WGS84) x 757149, y 3679508",NA,NA,-108.27167,"2016-03-23T00:00:00.000+0000",8,NA,"ICZN","urn:catalog:UAZ:Mammals:UAZ 26765",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","84d451a0-644d-11de-b910-b8a03c50a862","N. Perry",NA,"http://portal.vertnet.org/o/uaz/mammals?id=uaz-26765",NA,"https://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",240,NA,5219394,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"28 August 2002","United States of America  | New Mexico | Catron | Gila Cliff Dweller's Nat'l. Monument, UTM: (WGS84) x 757149, y 3679508",NA,"Hooded Skunk",NA,2002,"2016-08-10",41634,"Mephitis macroura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",107.338512855,159.648067131,TRUE
"46",47,NA,"Colima","Comala",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"27947","Mammalia",359,"Campo Uno, Colima, Comala, Mexico, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,"Mexico",NA,"84aefc7e-f762-11e1-a439-00145eb45e9a",NA,NA,3,NA,NA,"In collection","{""totalLengthInmm"":""581"", ""tailLengthInmm"":""303"", ""hindfootLengthInmm"":""54"", ""earLengthInmm"":""23"", ""weightIn"":""X""}",NA,NA,NA,NA,"1997-01-03T00:00:00.000+0000",NA,NA,"Mephitidae",9679,"No",NA,"Mexico",202072201,"Mephitis","Mephitis",5219379,"WGS84",NA,NA,"Conversion",NA,NA,"Verified by contributor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:OMNH:Mammals:27947",NA,NA,NA,"OMNH",NA,NA,NA,"MX",202072201,"Animalia",1,"English","2016-08-09T08:14:36.234+0000","2016-08-09T08:22:03.862+0000","2016-08-09T08:14:36.389+0000",19.43711,NA,NA,"Campo Uno",NA,NA,-103.89742,"2016-05-12T00:00:00.000+0000",1,NA,NA,"urn:catalog:OMNH:Mammals:27947",NA,NA,"Carnivora",732,NA,NA,NA,"Chordata",44,"skin, tissues",NA,"DWC_ARCHIVE","US","609765e0-4ce8-11db-b80e-b8a03c50a862","Colima Field Expedition 1997","AWR , 165",NA,NA,NA,"Sam Noble Oklahoma Museum of Natural History",NA,"Mephitis macroura Lichtenstein, 1832",NA,NA,"Mephitis macroura",5219394,"macroura",NA,NA,5219394,"SPECIES",NA,NA,NA,NA,"Degrees minutes seconds","2220",NA,NA,NA,"Hooded Skunk",NA,1997,"2016-08-10",41634,"Mephitis macroura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",107.338512855,159.648067131,TRUE
"53",54,"http://www.vertnet.org/resources/norms.html","New Mexico","Hidalgo County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,"140065","Mammalia",359,"Virden, New Mexico, Hidalgo County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",5399,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2005-03-10T00:00:00.000+0000",25,NA,NA,NA,"sex=male ; reproductive data=t=20x15 ; total length=675 mm; tail length=405 mm; hind foot with claw=60 mm; ear from notch=31 mm; weight=950 g",NA,NA,176,NA,"1995-06-25T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States",1145166355,"Mephitis","Mephitis",5219379,"WGS84","Jason L. Malaney","13-04-10 00:00:00.0","BioGeoMancer",NA,"Beogeomancer","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mephitidae;","North America, United States, New Mexico, Hidalgo County",NA,NA,NA,"A",NA,"legacy","unknown","http://arctos.database.museum/guid/MSB:Mamm:140065?seid=1792991",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145166355,"Animalia",1,"en","2016-07-28T04:55:30.026+0000","2016-08-04T12:18:29.391+0000","2016-06-24T04:32:56.931+0000",32.68702,NA,NA,"Virden","Jason L. Malaney",NA,-108.99776,NA,6,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:140065?seid=1792991",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:140065","NK=100200; institutional catalog number=- M -; preparator number=3",NA,"Chordata",44,"skin; skull; postcranial skeleton; liver (frozen); liver (frozen) sample; liver (frozen) sample","<i>Mephitis macroura</i> (accepted ID) identified by unknown on 2005-03-10; method: legacy","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Andrew Fensen; Preparator(s): Jessica Hathcock",NA,"http://arctos.database.museum/guid/MSB:Mamm:140065",NA,"http://arctosdb.org/home/data/",NA,NA,"Mephitis macroura Lichtenstein, 1832",NA,"MALE","Mephitis macroura",5219394,"macroura",NA,NA,5219394,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"25-Jun-1995","Virden",NA,NA,NA,1995,"2016-08-10",41634,"Mephitis macroura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",107.338512855,159.648067131,TRUE
"76",77,"http://vertnet.org/resources/norms.html","La paz",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"64150","Mammalia",359,"ZACATECOLUCA, HACIENDA ESCUINTLA, La paz, El Salvador, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",3830,"El Salvador",NA,"854f70cc-55e3-4af2-9417-0f47d6c7902d",NA,NA,17,NA,NA,NA,NA,NA,NA,290,"NATIVE","1991-10-17T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,"TK40426","El Salvador",911695067,"Mephitis","Mephitis",5219379,"WGS84","Sunny Shah (MVZ)","4/8/2003","VertNet Georeferencing Guidelines",NA,"Alexandria Digital Library Gazetteer","requires verification",NA,"MEPHITIS","| El Salvador | La Paz |  |  |  |  |",NA,NA,NA,NA,NA,NA,NA,"urn:catalog:TTU:Mammals:64150",NA,NA,"macroura","TTU","urn:lsid:biocol.org:col:34902",NA,NA,"SV",911695067,"Animalia",1,"en","2015-02-26T18:20:35.561+0000","2016-08-04T07:52:56.447+0000","2015-02-20T22:04:34.243+0000",13.5,NA,NA,"ZACATECOLUCA, HACIENDA ESCUINTLA",NA,NA,-88.86667,"2015-02-20T00:00:00.000+0000",10,NA,"ICZN","urn:catalog:TTU:Mammals:64150",NA,"present","Carnivora",732,NA,NA,NA,"Chordata",44,"SS | skin | skull",NA,"DWC_ARCHIVE","US","acac73b0-055d-11d8-b84f-b8a03c50a862","OWEN, J G","987","http://portal.vertnet.org/o/ttu/mammals?id=64150",NA,"http://creativecommons.org/licenses/by/4.0/",NA,NA,"Mephitis macroura subsp. macroura",NA,"MALE","Mephitis macroura",5219394,"macroura",290,NA,7193897,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"10/17/1991","EL SALVADOR | LA PAZ | ZACATECOLUCA, HACIENDA ESCUINTLA",NA,NA,NA,1991,"2016-08-10",41634,"Mephitis macroura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MEPHITIDAE","LC",107.338512855,159.648067131,TRUE
