"","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","bed","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNumber","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http://unknown.org/occurrenceDetails","http://unknown.org/organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","vernacularName","year","downloadDate"
"1",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"3726418","Mammalia",359,"Mexico","Observations",NA,NA,30367,"Mexico","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-07-23T00:39:10.000+0000",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-04-21T01:37:00.000+0000",NA,"06:37:00Z","Mephitidae",9679,NA,NA,"Mexico","1291140682","Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://conabio.inaturalist.org/observations/3726418",NA,"7157996",NA,NA,NA,NA,"3726418",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,"MX",1291140682,"Animalia",1,NA,"2016-08-10T00:34:24.946+0000","2016-08-10T00:56:35.853+0000","2016-08-10T00:34:24.989+0000",21.48969,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-101.53684,NA,"2016-07-23T13:58:54.000+0000",4,NA,"http://conabio.inaturalist.org/observations/3726418","M2E1L0-13R350B30",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Oscar Báez",NA,"http://www.inaturalist.org/observations/3726418",NA,"© Oscar Báez some rights reserved","Oscar Báez",NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,"58393",2434835,"SPECIES",NA,NA,NA,NA,NA,"2015/04/21 1:37 AM CDT","Guanajuato, MX",NA,2015,2016-08-10
"2",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"1642908","Mammalia",359,"United States","Observations",NA,NA,NA,"United States","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-06-18T16:04:10.000+0000",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-06-16T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1135523610","Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1642908",NA,"3088758",NA,NA,NA,NA,"1642908",NA,NA,NA,"iNaturalist",NA,"US",1135523610,"Animalia",1,NA,"2016-08-10T00:25:10.772+0000","2016-08-03T23:11:30.086+0000","2016-03-18T04:01:43.824+0000",31.66949,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-110.82129,NA,"2015-09-20T21:44:56.000+0000",6,NA,"http://www.inaturalist.org/observations/1642908","Observed via trail cam.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Dean Goehring",NA,"http://www.inaturalist.org/observations/1642908",NA,"© Dean Goehring some rights reserved","Dean Goehring",NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,"58393",2434835,"SPECIES",NA,NA,NA,NA,NA,"2015-06-16","Temporal Gulch",NA,2015,2016-08-10
"3",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"1860850","Mammalia",359,"United States","Observations",NA,NA,10000,"United States","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-08-14T05:57:09.000+0000",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-08-13T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1135215722","Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/1860850",NA,"3508756",NA,NA,NA,NA,"1860850",NA,"Coordinate uncertainty increased by 10000m at the request of the observer",NA,"iNaturalist",NA,"US",1135215722,"Animalia",1,NA,"2016-08-10T00:26:11.066+0000","2016-08-10T00:34:07.893+0000","2016-08-10T00:26:11.290+0000",41.29348,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-123.8765,NA,"2016-01-04T17:17:14.000+0000",8,NA,"http://www.inaturalist.org/observations/1860850",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","asemerdj",NA,"http://www.inaturalist.org/observations/1860850",NA,"© asemerdj some rights reserved","asemerdj",NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,"58393",2434835,"SPECIES",NA,NA,NA,NA,NA,"2015-08-13","Humboldt County, US-CA, US",NA,2015,2016-08-10
"4",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"3296562","Mammalia",359,"United States","Observations",NA,NA,616,"United States","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-05-25T04:43:09.000+0000",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-08-06T16:39:56.000+0000",NA,"22:39:56Z","Mephitidae",9679,NA,NA,"United States","1269583402","Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/3296562",NA,"6308249",NA,NA,NA,NA,"3296562",NA,NA,NA,"iNaturalist",NA,"US",1269583402,"Animalia",1,NA,"2016-08-10T00:32:23.524+0000","2016-08-10T00:51:43.075+0000","2016-08-10T00:32:23.666+0000",31.60474,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-110.43912,NA,"2016-05-25T17:19:29.000+0000",8,NA,"http://www.inaturalist.org/observations/3296562","Captured and released onsite. ",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","mmccabe",NA,"http://www.inaturalist.org/observations/3296562",NA,"© mmccabe some rights reserved","mmccabe",NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,"58393",2434835,"SPECIES",NA,NA,NA,NA,NA,"Thu Aug 06 2015 16:39:56 GMT-0700 (MST)","85613, Sierra Vista, AZ, US",NA,2015,2016-08-10
"5",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2985693","Mammalia",359,"United States","Observations",NA,NA,14,"United States","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-04-20T21:54:39.000+0000",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-09-18T00:00:00.000+0000",NA,NA,"Mephitidae",9679,NA,NA,"United States","1291072617","Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2985693",NA,"5814169",NA,NA,NA,NA,"2985693",NA,NA,NA,"iNaturalist",NA,"US",1291072617,"Animalia",1,NA,"2016-08-10T00:30:59.111+0000","2016-08-10T00:48:10.726+0000","2016-08-10T00:30:59.712+0000",31.53055,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-100.53716,NA,"2016-06-28T17:23:13.000+0000",9,NA,"http://www.inaturalist.org/observations/2985693","Western Spotted Skunk captured via trail cam.  ",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","clint_perkins",NA,"http://www.inaturalist.org/observations/2985693",NA,"© clint_perkins some rights reserved","clint_perkins",NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,"58393",2434835,"SPECIES",NA,NA,NA,NA,NA,"9/18/2015","Angelo State University MIR Center",NA,2015,2016-08-10
"6",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2448618","Mammalia",359,"United States","Observations",NA,NA,10,"United States","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-12-04T01:28:16.000+0000",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-10-10T04:27:00.000+0000",NA,"10:27:00Z","Mephitidae",9679,NA,NA,"United States","1249276230","Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2448618",NA,"4511905",NA,NA,NA,NA,"2448618",NA,NA,NA,"iNaturalist",NA,"US",1249276230,"Animalia",1,NA,"2016-08-10T00:28:12.605+0000","2016-08-10T00:39:55.822+0000","2016-08-10T00:28:12.635+0000",37.67454,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-113.08089,NA,"2016-02-17T06:45:25.000+0000",10,NA,"http://www.inaturalist.org/observations/2448618","The picture was taken with a camera trap along Coal Creak in Cedar City Utah. Since the animal was in motion, it is a little blurry. ",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","ajedwards",NA,"http://www.inaturalist.org/observations/2448618",NA,"© ajedwards some rights reserved","ajedwards",NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,"58393",2434835,"SPECIES",NA,NA,NA,NA,NA,"2015-10-10 4:27:00 AM MDT","Iron County, US-UT, US",NA,2015,2016-08-10
"7",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2259880","Mammalia",359,"United States","Observations",NA,NA,5,"United States","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-10-21T16:45:08.000+0000",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-10-21T09:43:52.000+0000",NA,"16:43:52Z","Mephitidae",9679,NA,NA,"United States","1144983217","Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2259880",NA,"4155114",NA,NA,NA,NA,"2259880",NA,NA,NA,"iNaturalist",NA,"US",1144983217,"Animalia",1,NA,"2016-08-10T00:27:22.582+0000","2016-08-03T23:11:52.863+0000","2016-03-18T04:04:39.716+0000",32.94281,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",NA,NA,NA,NA,NA,-116.96715,NA,"2015-10-21T17:29:48.000+0000",10,NA,"http://www.inaturalist.org/observations/2259880",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Jonah Evans",NA,"http://www.inaturalist.org/observations/2259880",NA,"© Jonah Evans some rights reserved","Jonah Evans",NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,"58393",2434835,"SPECIES",NA,NA,NA,NA,NA,"Wed Oct 21 2015 09:43:52 GMT-0700 (PDT)","Sycamore Park Dr, Lakeside, CA, US",NA,2015,2016-08-10
"8",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"252063","Mammalia",359,"United States","Observations",NA,NA,76,"United States","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-01T16:53:13.000+0000",NA,"21:53:13Z","Mephitidae",9679,NA,NA,"United States","891023762","Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/252063",NA,NA,NA,NA,NA,NA,"252063",NA,NA,NA,"iNaturalist",NA,"US",891023762,"Animalia",1,NA,"2016-08-10T00:28:40.103+0000","2016-08-10T00:41:15.605+0000","2016-08-10T00:28:40.228+0000",29.96548,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-98.19513,NA,"2014-10-20T01:52:02.000+0000",6,NA,"http://www.inaturalist.org/observations/252063","Ok here is the story on this. I had no idea this was rare or I would have taken more pics. Sorry about that. It was caught in an attic twice. The first time I did not think much of it and let lose about 1/2 mile away. Two days later it was back. Started looking for the access point found it hole about 3 inch square, and it was climbing 8 feet up the trim on the corner of a house.  ",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Jeff",NA,"http://www.inaturalist.org/observations/252063",NA,"© Jeff some rights reserved","Jeff",NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,"58393",2434835,"SPECIES",NA,NA,NA,NA,NA,"Sun Jun 01 2014 16:53:13 GMT-0500 (CDT)","5543–5899 Wayside Dr, San Marcos, TX, US",NA,2014,2016-08-10
"9",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"798281","Mammalia",359,"United States","Observations",NA,NA,5,"United States","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2014-07-23T14:05:52.000+0000",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-23T09:02:41.000+0000",NA,"14:02:41Z","Mephitidae",9679,NA,NA,"United States","1024195862","Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/798281",NA,"1406550",NA,NA,NA,NA,"798281",NA,NA,NA,"iNaturalist",NA,"US",1024195862,"Animalia",1,NA,"2016-08-10T00:37:08.778+0000","2016-08-03T23:11:01.984+0000","2016-03-18T04:11:39.453+0000",29.72664,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",NA,NA,NA,NA,NA,-98.11263,NA,"2014-10-19T03:55:29.000+0000",7,NA,"http://www.inaturalist.org/observations/798281","My guess is it's a western spotted skunk. But I would like some confirmation that it's not an eastern.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Jonah Evans",NA,"http://www.inaturalist.org/observations/798281",NA,"© Jonah Evans some rights reserved","Jonah Evans",NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,"58393",2434835,"SPECIES",NA,NA,NA,NA,NA,"Wed Jul 23 2014 09:02:41 GMT-0500 (CDT)","1297 Loop 337, New Braunfels, TX, US",NA,2014,2016-08-10
"10",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"808122","Mammalia",359,"United States","Observations",NA,NA,10,"United States","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2014-07-30T13:38:33.000+0000",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-26T11:22:08.000+0000",NA,"16:22:08Z","Mephitidae",9679,NA,NA,"United States","1024200050","Spilogale","Spilogale",2434820,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/808122",NA,"1427003",NA,NA,NA,NA,"808122",NA,NA,NA,"iNaturalist",NA,"US",1024200050,"Animalia",1,NA,"2016-08-10T00:37:11.287+0000","2016-08-10T01:03:16.907+0000","2016-08-10T00:37:12.342+0000",30.49772,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-101.86655,NA,"2016-04-12T13:35:50.000+0000",7,NA,"http://www.inaturalist.org/observations/808122","Adlut spotted skunk found DOR on State Highway 349 by Jason Wrinkle who generously provided both the photo and the GPS coordinates and his permission to post the record here.  N30.497721 W-101.866547",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","John Karges",NA,"http://www.inaturalist.org/observations/808122",NA,"© John Karges some rights reserved","John Karges",NA,"Spilogale gracilis Merriam, 1890",NA,NA,"Spilogale gracilis",2434835,"gracilis",NA,"58393",2434835,"SPECIES",NA,NA,NA,NA,NA,"2014-07-26 11:22:08","South of Sheffield on SH349, Terrell County, Texas, United States",NA,2014,2016-08-10
