"","X","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","bed","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","created","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","lithostratigraphicTerms","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"91",91,NA,"California","Sonoma Co.",NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"30771","Mammalia",359,"Petaluma, Near 4690 D Street (Point Reyes-Petaluma Road), California, Sonoma Co., United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"6ce7290f-47f6-4046-8356-371f5b6749df",NA,NA,20,NA,NA,NA,"Tail=110.0 (150.0)mm; Ear=32.5mm; Hind foot=106.2 (99.1)mm.; Length=700.0 (740.0)mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-08-20T00:00:00.000+0000",NA,NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1261931192,"Taxidea","Taxidea",2434101,"WGS84",NA,NA,NA,"Google Earth",NA,NA,"unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae","North America; USA; California; Sonoma Co.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:CAS:MAM:30771",NA,NA,NA,"CAS",NA,"US",1261931192,"Animalia",1,"en","2016-08-09T10:34:02.465+0000","2016-08-04T00:58:23.917+0000","2016-05-09T17:54:27.712+0000",38.19561,NA,NA,NA,NA,NA,NA,NA,NA,"Petaluma, Near 4690 D Street (Point Reyes-Petaluma Road)",NA,NA,NA,-122.65754,NA,NA,8,NA,NA,"urn:catalog:CAS:MAM:30771","Complete skeleton and tissues.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"TISSUE; PARASITES; SL",NA,"DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","Claire Peaslee","PET120",NA,"No embryo scars seen, but not certain.",NA,NA,NA,"Taxidea taxus (Schreber, 1777)",NA,NA,NA,"Taxidea taxus",2434102,"taxus",232,NA,2434102,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"20 August 2013",NA,NA,NA,2013,"2016-08-10",41663,"Taxidea taxus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",309.142318105,971.013785811,TRUE
"96",96,"http://www.vertnet.org/resources/norms.html","New Mexico","Socorro County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"269005","Mammalia",359,"I-25, 1.45 miles north of Exit 169 (La Joya), 3.8 miles south of Bernardo, New Mexico, Socorro County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2013-10-23T00:00:00.000+0000",23,NA,NA,NA,"sex=male ; total length=721 mm; tail length=120 mm; hind foot with claw=96 mm; ear from notch=50 mm; weight=6 kg; reproductive data=scrotal ; examined for parasites=no",NA,NA,NA,NA,NA,NA,NA,296,NA,"2013-10-23T00:00:00.000+0000",NA,NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1145296318,"Taxidea","Taxidea",2434101,"WGS84",NA,"Robert L. Harrison","2013-04-30 00:00:00.0","not recorded",NA,"GPS","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;","North America, United States, New Mexico, Socorro County",NA,NA,NA,NA,"A",NA,NA,"student","Schuyler W. Liphardt","http://arctos.database.museum/guid/MSB:Mamm:269005?seid=2090540",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145296318,"Animalia",1,"en","2016-07-28T04:56:02.900+0000","2016-08-04T12:18:37.156+0000","2016-06-24T04:34:12.934+0000",34.37012,NA,NA,NA,NA,NA,NA,NA,NA,"I-25, 1.45 miles north of Exit 169 (La Joya), 3.8 miles south of Bernardo","Robert L. Harrison",NA,NA,-106.86901,NA,NA,10,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:269005?seid=2090540",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:269005","NK=230707",NA,NA,"Chordata",44,"skull; postcranial skeleton; tongue (frozen); heart, kidney, lung, spleen (frozen); liver (frozen)","<i>Taxidea taxus</i> (accepted ID) identified by Schuyler W. Liphardt on 2013-10-23; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Robert L. Harrison; Preparator(s): Schuyler W. Liphardt",NA,"http://arctos.database.museum/guid/MSB:Mamm:269005",NA,"http://arctosdb.org/home/data/",NA,NA,"Taxidea taxus (Schreber, 1777)",NA,"MALE",NA,"Taxidea taxus",2434102,"taxus",NA,NA,2434102,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"22 Aug 2010","USA/NM, Socorro County, I-25, 1.45 mi N exit 169 (La Joya), 3.8 mi S of Bernardo",NA,NA,2013,"2016-08-10",41663,"Taxidea taxus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",309.142318105,971.013785811,TRUE
"101",101,"http://www.vertnet.org/resources/norms.html","New Mexico","Sierra County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"250041","Mammalia",359,"4.5 km SW of Engle., New Mexico, Sierra County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,500,"United States",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2012-06-26T00:00:00.000+0000",26,NA,NA,NA,"sex=male ; total length=685 mm; tail length=105 mm; hind foot with claw=105 mm; ear from notch=50 mm; weight=7600 g; reproductive data=T=(60x33)",NA,NA,NA,NA,NA,NA,NA,117,NA,"2012-04-26T00:00:00.000+0000",NA,NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1145280771,"Taxidea","Taxidea",2434101,"WGS84",NA,"unknown","2012-07-08 00:00:00.0","not recorded",NA,"GPS","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;","North America, United States, New Mexico, Sierra County",NA,NA,NA,NA,"A",NA,NA,"field","Brooks A. Kohli","http://arctos.database.museum/guid/MSB:Mamm:250041?seid=1851034",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145280771,"Animalia",1,"en","2016-07-28T04:55:58.197+0000","2016-08-04T12:18:32.713+0000","2016-06-24T04:34:01.053+0000",33.16402,NA,NA,NA,NA,NA,NA,NA,NA,"4.5 km SW of Engle.","unknown",NA,"Original georeference UTM was converted incorrectly.  Re-determined by JL Dunnum 4/2016.",-107.08485,NA,NA,4,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:250041?seid=1851034","Not examined for parasites.  Tissue preservation: 1st -20C, 2nd -80C. Dead on road. UTM zone 13 305586 3671406.",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:250041","NK=215184",NA,NA,"Chordata",44,"skull; postcranial skeleton; liver (frozen); heart, kidney, lung, spleen (frozen); tongue (frozen); diaphragm (frozen); liver (frozen) sample","<i>Taxidea taxus</i> (accepted ID) identified by Brooks A. Kohli on 2012-06-26; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Robert L. Harrison; Preparator(s): Brooks A. Kohli, Jonathan L. Dunnum",NA,"http://arctos.database.museum/guid/MSB:Mamm:250041",NA,"http://arctosdb.org/home/data/",NA,"dead on road","Taxidea taxus (Schreber, 1777)",NA,"MALE",NA,"Taxidea taxus",2434102,"taxus",NA,NA,2434102,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"2012-04-26","4.5 km SW of Engle",NA,NA,2012,"2016-08-10",41663,"Taxidea taxus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",309.142318105,971.013785811,TRUE
"164",164,NA,"Texas","Tom Green",NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14971","Mammalia",359,"2 mi NW Carlsbad, US 87, Texas, Tom Green, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-12-14T00:00:00.000+0000",NA,NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1061289911,"Taxidea","Taxidea",2434101,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289911,"Animalia",1,NA,"2016-06-28T07:24:31.156+0000","2016-08-04T15:40:27.202+0000","2015-03-03T13:48:30.199+0000",31.62756,NA,NA,NA,NA,NA,NA,NA,NA,"2 mi NW Carlsbad, US 87",NA,NA,NA,-100.67167,NA,NA,12,NA,NA,"248c7e2d-1673-45c0-8a47-b4dd603ecb81",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Taxidea taxus (Schreber, 1777)",NA,"FEMALE",NA,"Taxidea taxus",2434102,"taxus",NA,NA,2434102,"SPECIES",NA,NA,NA,NA,NA,NA,"14 December 2011","2 mi NW Carlsbad on U.S. 87, N 31.625065°, W 100.669459°",NA,"badger",2011,"2016-08-10",41663,"Taxidea taxus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",309.142318105,971.013785811,TRUE
"202",202,NA,"Nebraska","Holt",NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14956","Mammalia",359,"no specific locality, Nebraska, Holt, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-11-11T00:00:00.000+0000",NA,NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1061289897,"Taxidea","Taxidea",2434101,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289897,"Animalia",1,NA,"2016-06-28T07:24:31.171+0000","2016-08-04T15:40:27.503+0000","2015-03-03T13:48:30.159+0000",42.46321,NA,NA,NA,NA,NA,NA,NA,NA,"no specific locality",NA,NA,NA,-98.76229,NA,NA,11,NA,NA,"8008fa85-564b-4e38-b810-b7097fd31b9a",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Matthews, J",NA,NA,NA,NA,NA,NA,"Taxidea taxus (Schreber, 1777)",NA,"MALE",NA,"Taxidea taxus",2434102,"taxus",NA,NA,2434102,"SPECIES",NA,NA,NA,NA,NA,NA,"11 November 2010",NA,NA,"badger",2010,"2016-08-10",41663,"Taxidea taxus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",309.142318105,971.013785811,TRUE
"242",242,"http://www.vertnet.org/resources/norms.html","New Mexico","Sandoval County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"214958","Mammalia",359,"Along U.S. 550 at Mile Marker 8, New Mexico, Sandoval County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,1102,"United States",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2009-07-31T00:00:00.000+0000",4,NA,NA,NA,"sex=male ; total length=681 mm; tail length=129 mm; hind foot with claw=116 mm; ear from notch=56 mm; weight=5000 g; reproductive data=scrotal testis = 15 X 9 mm",NA,NA,NA,NA,NA,NA,NA,185,NA,"2009-07-04T00:00:00.000+0000",NA,NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1145247277,"Taxidea","Taxidea",2434101,"WGS84",NA,"unknown","2012-07-08 00:00:00.0","GeoLocate",NA,"GeoLocate","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;","North America, United States, New Mexico, Sandoval County",NA,NA,NA,NA,"A",NA,NA,"field","Paul J. Polechla Jr.","http://arctos.database.museum/guid/MSB:Mamm:214958?seid=182694",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145247277,"Animalia",1,"en","2016-07-28T04:55:49.445+0000","2016-08-04T12:18:41.523+0000","2016-06-24T04:33:39.070+0000",35.38643,NA,NA,NA,NA,NA,NA,NA,NA,"Along U.S. 550 at Mile Marker 8","unknown",NA,NA,-106.63852,NA,NA,7,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:214958?seid=182694","Katie Elder assisted in Necropsy. Richar, Gileen, & Reilly Elder assisted in Collection. Examined for Endoparasites and Ectoparasites.",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:214958","NK=182240; preparator number=PJP 3392",NA,NA,"Chordata",44,"postcranial skeleton; stomach content (70% ethanol); liver (frozen); heart (frozen); unknown (frozen); ectoparasite(s) (70% ethanol); muscle (frozen); baculum (unknown); liver (frozen) sample","<i>Taxidea taxus</i> (accepted ID) identified by Paul J. Polechla Jr. on 2009-07-31; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Katie Elder; Preparator(s): Paul J. Polechla Jr.",NA,"http://arctos.database.museum/guid/MSB:Mamm:214958",NA,"http://arctosdb.org/home/data/",NA,NA,"Taxidea taxus (Schreber, 1777)",NA,"MALE",NA,"Taxidea taxus",2434102,"taxus",NA,NA,2434102,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"4 July 2009","Along U.S. 550 at Mile Marker 8",NA,NA,2009,"2016-08-10",41663,"Taxidea taxus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",309.142318105,971.013785811,TRUE
"258",259,NA,"Texas","Runnels",NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14970","Mammalia",359,"1.5 mi S, 2.5 mi W Rowena, US 67, Texas, Runnels, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10-11T00:00:00.000+0000",NA,NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1061289905,"Taxidea","Taxidea",2434101,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289905,"Animalia",1,NA,"2016-06-28T07:24:31.185+0000","2016-08-04T15:40:27.047+0000","2015-03-03T13:48:30.194+0000",31.62831,NA,NA,NA,NA,NA,NA,NA,NA,"1.5 mi S, 2.5 mi W Rowena, US 67",NA,NA,NA,-100.0899,NA,NA,10,NA,NA,"590abf06-8028-4e85-8aa4-d6e1158f1882",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Hubbell, C B",NA,NA,NA,NA,NA,NA,"Taxidea taxus (Schreber, 1777)",NA,NA,NA,"Taxidea taxus",2434102,"taxus",NA,NA,2434102,"SPECIES",NA,NA,NA,NA,NA,NA,"11 October 2009","1.5 mi S, 2.5 mi W Rowena (on U.S. 67)",NA,"badger",2009,"2016-08-10",41663,"Taxidea taxus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",309.142318105,971.013785811,TRUE
"321",322,"http://www.vertnet.org/resources/norms.html","New Mexico","San Juan County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"195636","Mammalia",359,"along U.S. Highway 550, near Blanco Trading Post and junction with N.M. Highway 57, New Mexico, San Juan County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2008-06-02T00:00:00.000+0000",21,NA,NA,NA,"sex=male ; total length=670 mm; tail length=118 mm; hind foot with claw=113 mm; ear from notch=44 mm; weight=7200 g; reproductive data=T = 25 x 12 mm",NA,NA,NA,NA,NA,NA,NA,52,NA,"2008-02-21T00:00:00.000+0000",NA,NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1145226106,"Taxidea","Taxidea",2434101,"WGS84",NA,"Susan Kaplan Lentz","2008-06-02 00:00:00.0","not recorded",NA,"GNIS","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;","North America, United States, New Mexico, San Juan County",NA,NA,NA,NA,"A",NA,NA,"field","Susan Kaplan Lentz","http://arctos.database.museum/guid/MSB:Mamm:195636?seid=1720178",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495","US",1145226106,"Animalia",1,"en","2016-07-28T04:55:44.886+0000","2016-08-04T12:18:44.031+0000","2016-06-24T04:33:27.746+0000",36.35972,NA,NA,NA,NA,NA,NA,NA,NA,"along U.S. Highway 550, near Blanco Trading Post and junction with N.M. Highway 57","Susan Kaplan Lentz",NA,NA,-107.80833,NA,NA,2,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:195636?seid=1720178","on ""Blanco Trading Post, NM 1:24000"" U.S.G.S. quad map",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:195636","NK=154472; original identifier=PJP3353",NA,NA,"Chordata",44,"skin; skull; postcranial skeleton; muscle (frozen); baculum; muscle (frozen) sample; muscle (frozen) sample","<i>Taxidea taxus</i> (accepted ID) identified by Susan Kaplan Lentz on 2008-06-02; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Susan Kaplan Lentz; Preparator(s): Paul J. Polechla Jr.",NA,"http://arctos.database.museum/guid/MSB:Mamm:195636",NA,"http://arctosdb.org/home/data/",NA,NA,"Taxidea taxus (Schreber, 1777)",NA,"MALE",NA,"Taxidea taxus",2434102,"taxus",NA,NA,2434102,"SPECIES",NA,"PhysicalObject",NA,NA,"deg. min. sec.",NA,"21 February 2008","along U.S. Highway 550, near Blanco Trading Post and junction with N.M. Highway 57",NA,NA,2008,"2016-08-10",41663,"Taxidea taxus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",309.142318105,971.013785811,TRUE
"323",324,"http://www.vertnet.org/resources/norms.html","California","Contra Costa County",NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"230296","Mammalia",359,"5150 Tassahara Rd., Danville, California, Contra Costa County, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34904","NORTH_AMERICA",NA,281,"United States",NA,NA,"0daed095-478a-4af6-abf5-18acb790fbb2",NA,NA,21,NA,NA,NA,"sex=female ; total length=630 mm; tail length=112 mm; hind foot with claw=96 mm; ear from notch=45 mm; weight=6488.5 g; reproductive data=8 nipples, slight. Uterus vascularized, width 7mm, with 1R and 1L scar, possibly more (unclear due to degraded condition). ; stomach contents=1 adult and several baby squirrels (species to be identified).",NA,NA,NA,NA,NA,NA,NA,112,NA,"2008-04-21T00:00:00.000+0000",NA,NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1145810212,"Taxidea","Taxidea",2434101,"WGS84",NA,"Christopher J. Conroy","2014-02-18 00:00:00.0","GeoLocate",NA,"GeoLocate","checked by curator",NA,"Animalia; Chordata; Mammalia; Carnivora; Mustelidae;","North America, United States, California, Contra Costa County",NA,NA,NA,NA,"A",NA,NA,"geographic distribution","Anna Petrosky","http://arctos.database.museum/guid/MVZ:Mamm:230296?seid=2090980",1,NA,"jeffersonii","MVZ","urn:lsid:biocol.org:col:34777","US",1145810212,"Animalia",1,"en","2016-08-09T09:39:04.891+0000","2016-08-09T09:41:59.456+0000","2016-08-09T09:39:05.333+0000",37.79506,NA,NA,NA,NA,NA,NA,NA,NA,"5150 Tassahara Rd., Danville","Christopher J. Conroy",NA,NA,-121.86644,NA,NA,4,NA,"ICZN","http://arctos.database.museum/guid/MVZ:Mamm:230296?seid=2090980",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MVZ:Mamm:230296","LWH: Lindsay Wildlife Hospital=08-1083; MVZ Prep Lab Catalog=1288",NA,NA,"Chordata",44,"skull; tissue (frozen); skeleton; stomach content (70% ethanol)","<i>Taxidea taxus jeffersonii</i> (accepted ID) identified by Anna Petrosky; method: geographic distribution","DWC_ARCHIVE","US","8edbbde0-055e-11d8-b850-b8a03c50a862","Collector(s): Lindsay Wildlife Hospital; Preparator(s): Ka Thao, Matthew Ogbuehi, Hua Truong",NA,"http://arctos.database.museum/guid/MVZ:Mamm:230296",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Taxidea taxus subsp. jeffersonii Harlan, 1825",NA,"FEMALE",NA,"Taxidea taxus",2434102,"taxus",NA,NA,6163987,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"21 April 2008","5150 Tassahara Rd., Danville, Contra Costa County, California",NA,NA,2008,"2016-08-10",41663,"Taxidea taxus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",309.142318105,971.013785811,TRUE
"336",337,NA,"Texas","Runnels",NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"14969","Mammalia",359,"no specific locality, Texas, Runnels, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,"f9772d3a-db34-4a33-baa0-7a016a970358",NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-09-21T00:00:00.000+0000",NA,NA,NA,"Mustelidae",5307,NA,NA,NA,"United States",1061289908,"Taxidea","Taxidea",2434101,"WGS84",NA,NA,NA,"GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNHC",NA,"US",1061289908,"Animalia",1,NA,"2016-06-28T07:24:31.178+0000","2016-08-04T15:40:27.330+0000","2015-03-03T13:48:30.182+0000",31.79864,NA,NA,NA,NA,NA,NA,NA,NA,"no specific locality",NA,NA,NA,-99.79081,NA,NA,9,NA,NA,"0b507605-f1bc-4106-86ec-2930b958301e",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"muscle;skull",NA,"DWC_ARCHIVE","US","9c0a8aa8-4ce7-49ba-aac7-21a97234f886","Dowler, Robert C",NA,NA,NA,NA,NA,NA,"Taxidea taxus (Schreber, 1777)",NA,"FEMALE",NA,"Taxidea taxus",2434102,"taxus",NA,NA,2434102,"SPECIES",NA,NA,NA,NA,NA,NA,"21 September 2008","14R 425140 3518389",NA,"badger",2008,"2016-08-10",41663,"Taxidea taxus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","LC",309.142318105,971.013785811,TRUE
