"","X","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","bed","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintWKT","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","id_no","binomial","presence","origin","seasonal","compiler","year.1","citation","source.1","dist_comm","island.1","kingdom.1","phylum.1","class.1","order_","family.1","rlcategory","shape_Leng","shape_Area","optional"
"311",311,"http://www.vertnet.org/resources/norms.html","New Mexico","Lincoln County",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"128460","Mammalia",359,"no specific locality recorded, New Mexico, Lincoln County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,80000,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2014-06-11T00:00:00.000+0000",11,NA,NA,NA,"total length=890 mm; tail length=370 mm; hind foot with claw=124 mm; ear from notch=70 mm; weight=4.5 lb; sex=female ; reproductive data=no embs ; age class=juvenile",NA,NA,NA,NA,NA,NA,NA,162,NA,"2014-06-11T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",1145157250,"Urocyon","Urocyon",2434558,"WGS84",NA,"Cindy A. Ramotnik","2014-06-11 00:00:00.0","not recorded",NA,"Google Earth","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Canidae;","North America, United States, New Mexico, Lincoln County",NA,NA,NA,NA,"A",NA,"student","Cindy A. Ramotnik","http://arctos.database.museum/guid/MSB:Mamm:128460?seid=2342879",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145157250,"Animalia",1,"en","2016-07-28T04:55:27.498+0000","2016-08-04T12:18:33.663+0000","2016-06-24T04:32:51.515+0000",33.84782,NA,NA,NA,NA,NA,NA,"JUVENILE","no specific locality recorded","Cindy A. Ramotnik",NA,NA,-105.41245,NA,NA,6,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:128460?seid=2342879",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:128460","USGS: U.S. Geological Survey=128460; preparator number=CAR 5262",NA,NA,"Chordata",44,"skin; skull; postcranial skeleton","<i>Urocyon cinereoargenteus</i> (accepted ID) identified by Cindy A. Ramotnik on 2014-06-11; method: student","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): unknown; Preparator(s): Cindy A. Ramotnik",NA,"http://arctos.database.museum/guid/MSB:Mamm:128460",NA,"http://arctosdb.org/home/data/",NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,"FEMALE",NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"[no date recoded]","New Mexico: Lincoln Co.,",NA,NA,NA,2014,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"437",437,NA,"Oklahoma","Cleveland",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"50080","Mammalia",359,"1221 Ed Noble Parkway, Norman, in trailer park behind Marc Heitz, Oklahoma, Cleveland, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,145,"United States",NA,"84aefc7e-f762-11e1-a439-00145eb45e9a",NA,NA,3,NA,NA,"In collection","{""totalLengthInmm"":""880"", ""tailLengthInmm"":""350"", ""hindfootLengthInmm"":""140"", ""earLengthInmm"":""72"", ""weightIng"":""3370""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-01-03T00:00:00.000+0000",NA,NA,"Canidae",9701,"Yes",NA,NA,NA,"United States",894724314,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,"GEOLocate [www.museum.tulane.edu/geolocate/]",NA,NA,"Verified by data custodian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:OMNH:Mammals:50080",NA,NA,NA,"OMNH",NA,NA,NA,"US",894724314,"Animalia",1,"English","2016-08-09T08:14:46.657+0000","2016-08-09T08:22:37.622+0000","2016-08-09T08:14:46.721+0000",35.20174,NA,NA,NA,NA,NA,NA,"ADULT","1221 Ed Noble Parkway, Norman, in trailer park behind Marc Heitz",NA,NA,NA,-97.48424,NA,"2016-07-07T00:00:00.000+0000",1,NA,NA,"urn:catalog:OMNH:Mammals:50080",NA,NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"skin, skeleton, tissues",NA,"DWC_ARCHIVE","US","609765e0-4ce8-11db-b80e-b8a03c50a862","Norman Animal Control","MP , 2549",NA,"TS=24x16",NA,"Sam Noble Oklahoma Museum of Natural History",NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gray Fox",NA,2012,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"477",477,"http://www.vertnet.org/resources/norms.html","New Mexico","Catron County",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"264306","Mammalia",359,"Highway 180 Approximately 3.5 miles North of Alma, mile marker 42, New Mexico, Catron County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"b15d4952-7d20-46f1-8a3e-556a512b04c5",NA,"2012-10-13T00:00:00.000+0000",13,NA,NA,NA,"sex=male ; total length=985 mm; tail length=395 mm; hind foot with claw=125 mm; ear from notch=79 mm; weight=2500 g; reproductive data=T=14x9 mm",NA,NA,NA,NA,NA,NA,NA,287,NA,"2012-10-13T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",1145291195,"Urocyon","Urocyon",2434558,"WGS84",NA,"Mammalogy Class 2012","2012-10-13 00:00:00.0","not recorded",NA,"GPS","checked by collector",NA,"Animalia; Chordata; Mammalia; Carnivora; Canidae;","North America, United States, New Mexico, Catron County, Gila National Forest",NA,NA,NA,NA,"A",NA,"field","Mammalogy Class 2012","http://arctos.database.museum/guid/MSB:Mamm:264306?seid=1949890",1,NA,NA,"MSB","urn:lsid:biocol.org:col:34495",NA,NA,"US",1145291195,"Animalia",1,"en","2016-07-28T04:56:01.284+0000","2016-08-04T12:18:33.407+0000","2016-06-24T04:34:10.081+0000",33.4282,NA,NA,NA,NA,NA,NA,NA,"Highway 180 Approximately 3.5 miles North of Alma, mile marker 42","Mammalogy Class 2012",NA,NA,-108.91504,NA,NA,10,NA,"ICZN","http://arctos.database.museum/guid/MSB:Mamm:264306?seid=1949890","Not examined for endo or ectoparasites.",NA,"Carnivora",732,"http://arctos.database.museum/guid/MSB:Mamm:264306","NK=216019",NA,NA,"Chordata",44,"skin; skull; postcranial skeleton; muscle (frozen); diaphragm (frozen); heart, kidney, lung, spleen (frozen); liver (frozen)","<i>Urocyon cinereoargenteus</i> (accepted ID) identified by Mammalogy Class 2012 on 2012-10-13; method: field","DWC_ARCHIVE","US","939ed180-aa7b-11db-8edf-b8a03c50a862","Collector(s): Mammalogy Class 2012; Preparator(s): Evan F. Fahy",NA,"http://arctos.database.museum/guid/MSB:Mamm:264306",NA,"http://arctosdb.org/home/data/",NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,"MALE",NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"13 October 2012","USA/NM, Catron County, US, NM, Catron County, Gila NF, HWY 180 approx 3.5 mi N. Alma, Mile Marker 42",NA,NA,NA,2012,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"496",496,"http://vertnet.org/resources/norms.html","Michigan","Washtenaw",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"178681","Mammalia",359,"Miller Rd. Forest Cove, Michigan, Washtenaw, United States, NORTH_AMERICA","Mammals","urn:lsid:biocol.org:col:34916","NORTH_AMERICA",NA,805,"United States",NA,"6d2cfc0a-9903-40b8-802b-403398218e4a",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,"NATIVE","2011-02-16T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",784068788,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,"not recorded",NA,NA,"requires verification",NA,"Carnivora | Canidae | Urocyon","| USA | Michigan | Washtenaw |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:UMMZ:Mammals:178681",NA,NA,"cinereoargenteus","UMMZ","urn:lsid:biocol.org:col:34917",NA,NA,"US",784068788,"Animalia",1,"en","2015-07-16T13:30:03.015+0000","2016-08-04T00:59:09.352+0000","2015-04-07T16:41:06.301+0000",42.2983,NA,NA,NA,NA,NA,NA,NA,"Miller Rd. Forest Cove",NA,NA,NA,-83.7908,NA,"2015-04-06T00:00:00.000+0000",2,NA,"ICZN","urn:catalog:UMMZ:Mammals:178681",NA,"present","Carnivora",732,NA,NA,NA,NA,"Chordata",44,"Skeleton | Skin | Skull",NA,"DWC_ARCHIVE","US","6ea87510-0561-11d8-b851-b8a03c50a862","Jim Gapczynski","10355","http://portal.vertnet.org/o/ummz/mammals?id=178681",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,"Urocyon cinereoargenteus subsp. cinereoargenteus",NA,"FEMALE",NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",47,NA,7059385,"SUBSPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"16 February 2011","USA | Michigan | Washtenaw | Miller Rd. Forest Cove",NA,NA,NA,2011,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"526",526,NA,"California","Sonoma Co.",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"29896","Mammalia",359,"Petaluma, US Coast Guard Base, California, Sonoma Co., United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"6ce7290f-47f6-4046-8356-371f5b6749df",NA,NA,28,NA,NA,NA,"Length=930.0 cm. S.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-04-28T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",812143731,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,NA,NA,NA,"unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Canidae","North America; USA; California; Sonoma Co.",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:CAS:MAM:29896",NA,NA,NA,"CAS",NA,NA,NA,"US",812143731,"Animalia",1,"en","2016-08-09T10:34:02.230+0000","2016-08-04T00:58:26.391+0000","2016-03-29T19:22:56.725+0000",38.25688,NA,NA,NA,NA,NA,NA,"ADULT","Petaluma, US Coast Guard Base",NA,NA,NA,-122.80038,NA,NA,4,NA,NA,"urn:catalog:CAS:MAM:29896","Total length: 895mm; Tail: 370mm; Hind foot: 136mm; Ear:74mm.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"SL; TISSUE",NA,"DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","Sonoma Wildlife Rescue","ASG369",NA,NA,NA,NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",118,NA,2434566,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"28 April 2010",NA,NA,NA,NA,2010,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"531",531,NA,"California","Sonoma Co.",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"30138","Mammalia",359,"Gualala River; North Fork, California, Sonoma Co., United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"6ce7290f-47f6-4046-8356-371f5b6749df",NA,NA,22,NA,NA,NA,"Tail:412.0 (562.0) mm; Hind Foot=123.0 mm; Ear=68.0 mm.; Weight=3.3kg; Length=555.0 mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-07-22T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",876159287,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,"Google Earth",NA,NA,"requires verification",NA,"Animalia; Chordata; Mammalia; Carnivora; Canidae","North America; USA; California; Sonoma Co.",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:CAS:MAM:30138",NA,NA,NA,"CAS",NA,NA,NA,"US",876159287,"Animalia",1,"en","2016-08-09T10:34:02.292+0000","2016-08-04T00:58:26.465+0000","2016-03-29T19:22:56.850+0000",38.66378,NA,NA,NA,NA,NA,NA,NA,"Gualala River; North Fork",NA,NA,NA,-123.22571,NA,NA,7,NA,NA,"urn:catalog:CAS:MAM:30138","Pelt and tissues. Total length: 950.0 mm., left hind foot detached.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"TISSUE; pelt",NA,"DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","Sharon Beals",NA,NA,NA,NA,NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",203,NA,2434566,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"22 July 2010",NA,NA,NA,NA,2010,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"539",539,NA,"North Carolina","Wake",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"NCSM 16891 - North Carolina Museum of Natural Sciences Mammals Collection","16891","Mammalia",359,"Raleigh, off Wade Ave, on Edwards Mill Rd exit ramp, North Carolina, Wake, United States, NORTH_AMERICA","NCSM-Mammals",NA,"NORTH_AMERICA",NA,189,"United States","NCSM-MammalsDWC","ea9f5b0b-ad97-45ea-935a-ba2784c80cbb","NCSM Mammals Collection",NA,2,NA,NA,"In Collections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-02T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,"MAMM-16891",NA,NA,"United States",897170385,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,NA,NA,"DeLorme 10.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EF7577B3-57C9-4A05-AEF2-529F455CE54D",NA,NA,NA,"NCSM","NCSM",NA,NA,"US",897170385,"Animalia",1,"EN","2016-07-28T19:48:39.304+0000","2016-08-04T15:09:05.539+0000","2016-07-28T19:48:39.542+0000",35.8071,NA,NA,NA,NA,NA,NA,NA,"Raleigh, off Wade Ave, on Edwards Mill Rd exit ramp",NA,NA,NA,-78.7209,NA,"2016-07-28T00:00:00.000+0000",1,NA,NA,"EF7577B3-57C9-4A05-AEF2-529F455CE54D","Source: MRS.",NA,"Carnivora",732,NA,"P10-3-32","NCSM",NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","69e7f900-ed5b-11dd-ac7e-b8a03c50a862",NA,NA,"http://collections.naturalsciences.org/specimenMammals.aspx?ID=16891",NA,"http://creativecommons.org/publicdomain/zero/1.0/","North Carolina Museum of Natural Sciences",NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,"MALE",NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,"Physical Object",NA,NA,NA,"123",NA,"Received from collector Bryan S. McLean.",NA,"Gray Fox",NA,2009,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"542",542,"http://www.vertnet.org/resources/norms.html","California","Los Angeles County",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"230248","Mammalia",359,"Near Pyramid Lake on Hwy I5, Angeles National Forest, California, Los Angeles County, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34904","NORTH_AMERICA",NA,10776,"United States",NA,"0daed095-478a-4af6-abf5-18acb790fbb2",NA,NA,11,NA,NA,NA,"sex=male ; total length=970 mm; tail length=385 mm; hind foot with claw=124 mm; ear from notch=77 mm; weight=3806 g; reproductive data=Testes scrotal.  R testis 18x13 mm.",NA,NA,NA,NA,NA,NA,NA,11,NA,"2009-01-11T00:00:00.000+0000","DOR",NA,"Canidae",9701,NA,NA,NA,NA,"United States",1145810105,"Urocyon","Urocyon",2434558,"WGS84",NA,"Christopher J. Conroy","2014-01-30 00:00:00.0","GeoLocate",NA,"GeoLocate","checked by curator",NA,"Animalia; Chordata; Mammalia; Carnivora; Canidae;","North America, United States, California, Los Angeles County",NA,NA,NA,NA,"A",NA,"geographic distribution","Anna Petrosky","http://arctos.database.museum/guid/MVZ:Mamm:230248?seid=2084882",1,NA,"californicus","MVZ","urn:lsid:biocol.org:col:34777",NA,NA,"US",1145810105,"Animalia",1,"en","2016-08-09T09:39:04.832+0000","2016-08-09T09:41:58.808+0000","2016-08-09T09:39:05.105+0000",34.6292,NA,NA,NA,NA,NA,NA,NA,"Near Pyramid Lake on Hwy I5, Angeles National Forest","Christopher J. Conroy",NA,NA,-118.72419,NA,NA,1,NA,"ICZN","http://arctos.database.museum/guid/MVZ:Mamm:230248?seid=2084882","Roadkill",NA,"Carnivora",732,"http://arctos.database.museum/guid/MVZ:Mamm:230248","MVZ Prep Lab Catalog=1596",NA,NA,"Chordata",44,"skull; tissue (frozen); skeleton","<i>Urocyon cinereoargenteus californicus</i> (accepted ID) identified by Anna Petrosky; method: geographic distribution","DWC_ARCHIVE","US","8edbbde0-055e-11d8-b850-b8a03c50a862","Collector(s): Dominik Mosur; Preparator(s): Mackenzie T. Most, Megan V. Bell, XiXi Zhai, Elyse S. Freitas",NA,"http://arctos.database.museum/guid/MVZ:Mamm:230248",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Urocyon cinereoargenteus subsp. californicus Mearns, 1897",NA,"MALE",NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,6164341,"SUBSPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"11 January 2009","Near Pyramid Lake off I-5, Angeles National Forest, Los Angeles County, California",NA,NA,NA,2009,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"557",557,"http://vertnet.org/resources/norms.html","New York","Tompkins County",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"21247","Mammalia",359,"Ithaca, Route 13, 0.6 mi. N Stewart Park turnoff, New York, Tompkins County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,481.19,"United States",NA,"35720b3e-aded-4b83-b4f1-967f1d457d6a",NA,"2009-08-20T00:00:00.000+0000",20,NA,NA,NA,"age class=juvenile ; sex=female ; total length=721 mm; tail length=240 mm; hind foot with claw=125 mm; ear from notch=61 mm; weight=2160 g",NA,NA,NA,NA,NA,NA,NA,232,NA,"2009-08-20T00:00:00.000+0000","dead on road",NA,"Canidae",9701,NA,NA,NA,NA,"United States",1037967110,"Urocyon","Urocyon",2434558,"WGS84",NA,"unknown","2014-02-27 00:00:00.0","not recorded",NA,"NamedPlaceExtent: 0.02; Georeference Source: Delorme Topo USA; Georeference Date: 20090820","unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Canidae;","North America, United States, New York, Tompkins County",NA,NA,NA,NA,"A",NA,"legacy","unknown","http://arctos.database.museum/guid/CUMV:Mamm:21247?seid=2110099",1,NA,NA,"CUMV","http://grbio.org/cool/i64g-wjcr",NA,NA,"US",1037967110,"Animalia",1,"en","2016-07-28T04:38:20.117+0000","2016-08-03T13:48:56.612+0000","2016-06-24T04:01:22.232+0000",42.47181,NA,NA,NA,NA,NA,NA,"JUVENILE","Ithaca, Route 13, 0.6 mi. N Stewart Park turnoff","unknown",NA,NA,-76.50052,NA,NA,8,NA,"ICZN","http://arctos.database.museum/guid/CUMV:Mamm:21247?seid=2110099",NA,NA,"Carnivora",732,"http://arctos.database.museum/guid/CUMV:Mamm:21247",NA,NA,NA,"Chordata",44,"tissue (frozen); whole organism (ethanol)","<i>Urocyon cinereoargenteus</i> (accepted ID) identified by unknown on 2009-08-20; method: legacy","DWC_ARCHIVE","US","cf9ceb80-9f3d-11da-b791-b8a03c50a862","Collector(s): Christopher S. Wood; Preparator(s): Charles M. Dardia",NA,"http://arctos.database.museum/guid/CUMV:Mamm:21247",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,"found dead","Urocyon cinereoargenteus (Schreber, 1775)",NA,"FEMALE",NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",NA,NA,2434566,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"2009-08-20","Ithaca, Route 13, 0.6 mi. N Stewart Park turnoff",NA,NA,NA,2009,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
"563",563,NA,"California","Alameda Co.",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"30145","Mammalia",359,"2601 Barrington Court, Hayward, California, Alameda Co., United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"6ce7290f-47f6-4046-8356-371f5b6749df",NA,NA,20,NA,NA,NA,"Tail=390.0 (420.0)mm; Hind Foot=111.5 (120.0)mm; Ear=70.0mm.; Weight=3225.0g",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10-20T00:00:00.000+0000",NA,NA,"Canidae",9701,NA,NA,NA,NA,"United States",876159273,"Urocyon","Urocyon",2434558,"WGS84",NA,NA,NA,"Google Earth",NA,NA,"unverified",NA,"Animalia; Chordata; Mammalia; Carnivora; Canidae","North America; USA; California; Alameda Co.",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:CAS:MAM:30145",NA,NA,NA,"CAS",NA,NA,NA,"US",876159273,"Animalia",1,"en","2016-08-09T10:34:02.291+0000","2016-08-04T00:58:23.375+0000","2016-03-29T19:22:56.848+0000",37.65563,NA,NA,NA,NA,NA,NA,NA,"2601 Barrington Court, Hayward",NA,NA,NA,-122.14393,NA,NA,10,NA,NA,"urn:catalog:CAS:MAM:30145","Skin and tissue.  Total length: 930.0 (960.0)mm.",NA,"Carnivora",732,NA,NA,NA,NA,"Chordata",44,"TISSUE; pelt",NA,"DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","Lindsay Widlife Hospital",NA,NA,NA,NA,NA,NA,"Urocyon cinereoargenteus (Schreber, 1775)",NA,NA,NA,"Urocyon cinereoargenteus",2434566,"cinereoargenteus",293,NA,2434566,"SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"20 October 2009",NA,NA,NA,NA,2009,"2016-08-10",22780,"Urocyon cinereoargenteus",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","CANIDAE","LC",606.630718601,884.541305845,TRUE
